theorem,mutant,result,encoding,nunchaku,recovery
Nat.sub_lt_iff_lt_add,0,SAT,12,54,0
Nat.sub_lt_iff_lt_add,1,SAT,15,53,0
Nat.sub_lt_iff_lt_add,2,SAT,13,154,0
Nat.sub_lt_iff_lt_add,3,SAT,23,407,0
Nat.sub_lt_iff_lt_add,4,SAT,34,60,1
Nat.sub_lt_iff_lt_add,5,SAT,22,205,1
Nat.sub_lt_iff_lt_add,6,SAT,19,156,0
Nat.sub_lt_iff_lt_add,7,SAT,22,55,0
Nat.sub_lt_iff_lt_add,8,SAT,22,107,1
Nat.one_lt_iff_ne_zero_and_ne_one,0,SAT,28,57,0
Nat.one_lt_iff_ne_zero_and_ne_one,1,SAT,27,58,0
Nat.shiftLeft_succ,0,SAT,9,963,0
Nat.shiftLeft_succ,1,SAT,4,55,0
Nat.mul_self_sub_mul_self_eq,0,SAT,4,705,0
Nat.mul_self_sub_mul_self_eq,1,SAT,6,56,0
Nat.one_mod_two_pow_eq_one,0,SAT,17,54,0
Nat.one_mod_two_pow_eq_one,1,SAT,12,53,0
Nat.pow_add_one',0,SAT,3,53,0
Nat.pow_add_one',1,SAT,5,965,0
Nat.sub_max_sub_left,0,UNKNOWN,26,7467,0
Nat.sub_max_sub_left,1,UNKNOWN,14,8069,0
Nat.sub_max_sub_left,2,UNKNOWN,27,8068,0
Nat.sub_max_sub_left,3,UNKNOWN,14,8369,1
Nat.sub_max_sub_left,4,UNKNOWN,15,7868,0
Nat.sub_max_sub_left,5,UNKNOWN,21,7919,1
Nat.mul_dvd_of_dvd_div,0,UNKNOWN,12,11074,0
Nat.mul_dvd_of_dvd_div,1,UNKNOWN,4,11075,0
Nat.mul_dvd_of_dvd_div,2,UNKNOWN,15,11074,0
Nat.mul_dvd_of_dvd_div,3,UNKNOWN,13,11076,0
Nat.mul_dvd_of_dvd_div,4,UNKNOWN,12,11065,0
Nat.mul_dvd_of_dvd_div,5,UNKNOWN,17,11077,1
Nat.mul_dvd_of_dvd_div,6,UNKNOWN,14,11075,1
Nat.mul_dvd_of_dvd_div,7,UNKNOWN,12,11072,0
Nat.le_and_le_add_one_iff,0,SAT,15,53,0
Nat.le_and_le_add_one_iff,1,SAT,16,53,0
Nat.le_and_le_add_one_iff,2,SAT,11,54,0
Nat.le_and_le_add_one_iff,3,SAT,11,53,1
Nat.le_mul_of_pos_left,0,SAT,11,54,1
Nat.le_mul_of_pos_left,1,UNKNOWN,21,11077,0
Nat.le_mul_of_pos_left,2,SAT,15,403,0
Nat.exists_eq_add_of_lt,0,UNKNOWN,3,11071,0
Nat.exists_eq_add_of_lt,1,UNKNOWN,18,11071,1
Nat.exists_eq_add_of_lt,2,UNKNOWN,16,11076,0
Nat.succ_max_succ,0,UNKNOWN,19,6968,0
Nat.succ_max_succ,1,UNKNOWN,14,7570,0
Nat.succ_add_sub_one,0,SAT,4,54,1
Nat.succ_add_sub_one,1,SAT,4,54,0
Nat.add_lt_add_of_le_of_lt,0,SAT,13,54,0
Nat.add_lt_add_of_le_of_lt,1,SAT,11,54,0
Nat.add_lt_add_of_le_of_lt,2,SAT,15,156,0
Nat.add_lt_add_of_le_of_lt,3,SAT,27,758,0
Nat.add_lt_add_of_le_of_lt,4,SAT,13,54,0
Nat.add_lt_add_of_le_of_lt,5,SAT,13,54,0
Nat.add_lt_add_of_le_of_lt,6,UNKNOWN,14,11081,0
Nat.add_lt_add_of_le_of_lt,7,SAT,10,54,0
Nat.add_lt_add_of_le_of_lt,8,SAT,16,54,0
Nat.add_lt_add_of_le_of_lt,9,SAT,11,53,0
Nat.add_lt_add_of_le_of_lt,10,SAT,10,106,0
Nat.add_lt_add_of_le_of_lt,11,UNKNOWN,17,11077,1
Nat.add_lt_add_of_le_of_lt,12,SAT,20,454,0
Nat.add_lt_add_of_le_of_lt,13,SAT,11,53,0
Nat.add_lt_add_of_le_of_lt,14,SAT,10,54,0
Nat.forall_lt_succ_left',0,SAT,10,54,0
Nat.add_succ_sub_one,0,SAT,2,55,0
Nat.add_succ_sub_one,1,SAT,3,53,1
Nat.dvd_iff_dvd_dvd,0,UNKNOWN,6,11081,0
Nat.dvd_iff_dvd_dvd,1,UNKNOWN,4,11073,0
Nat.dvd_iff_dvd_dvd,2,UNKNOWN,5,11075,0
Nat.min_self_assoc',0,UNKNOWN,18,8117,1
Nat.min_self_assoc',1,UNKNOWN,20,7316,0
Nat.add_eq_two_iff,0,SAT,2,54,0
Nat.add_eq_two_iff,1,SAT,4,54,0
Nat.add_eq_two_iff,2,SAT,2,454,0
Nat.add_eq_two_iff,3,SAT,3,55,0
Nat.eq_of_dvd_of_div_eq_one,0,SAT,13,53,0
Nat.eq_of_dvd_of_div_eq_one,1,SAT,3,53,0
Nat.eq_of_dvd_of_div_eq_one,2,UNSAT,25,54,0
Nat.eq_of_dvd_of_div_eq_one,3,UNSAT,31,55,0
Nat.one_mod_eq_one,0,SAT,28,1319,0
Nat.lt_two_pow_self,0,SAT,18,55,0
Nat.mul_dvd_mul_iff_right,0,UNKNOWN,4,11070,0
Nat.mul_dvd_mul_iff_right,1,UNKNOWN,19,11077,0
Nat.mul_dvd_mul_iff_right,2,UNKNOWN,11,11074,0
Nat.mul_dvd_mul_iff_right,3,UNKNOWN,18,11072,0
Nat.mul_dvd_mul_iff_right,4,UNKNOWN,10,11069,0
Nat.mul_dvd_mul_iff_right,5,UNKNOWN,13,11075,0
Nat.mul_dvd_mul_iff_right,6,UNKNOWN,16,11071,0
Nat.mul_dvd_mul_iff_right,7,UNKNOWN,11,11073,0
Nat.succ_mul_succ,0,SAT,3,53,0
Nat.succ_mul_succ,1,SAT,4,106,0
Nat.div_ne_zero_iff,0,SAT,12,454,0
Nat.div_ne_zero_iff,1,SAT,16,53,0
Nat.div_ne_zero_iff,2,SAT,12,54,0
Nat.div_add_mod',0,SAT,16,54,1
Nat.div_add_mod',1,SAT,31,54,0
Nat.div_eq_zero_iff,0,SAT,16,55,0
Nat.div_eq_zero_iff,1,SAT,28,109,0
Nat.div_eq_zero_iff,2,SAT,31,65,0
Nat.div_eq_zero_iff,3,SAT,45,114,0
Nat.div_eq_zero_iff,4,SAT,34,1821,0
Nat.mul_mod_mul_right,0,SAT,19,55,0
Nat.mul_mod_mul_right,1,SAT,18,54,0
Nat.mul_mod_mul_right,2,SAT,15,54,0
Nat.mul_mod_mul_right,3,SAT,16,1005,0
Nat.mul_mod_mul_right,4,SAT,19,55,0
Nat.mul_mod_mul_right,5,SAT,17,55,0
Nat.pow_mul',0,SAT,3,105,0
Nat.pow_mul',1,SAT,5,1114,0
Nat.pow_mul',2,SAT,6,55,1
Nat.pow_mul',3,SAT,5,106,0
Nat.pow_mul',4,SAT,2,755,0
Nat.pow_mul',5,SAT,5,54,0
Nat.one_lt_pow',0,UNKNOWN,12,11071,0
Nat.one_lt_pow',1,SAT,13,54,0
Nat.one_lt_pow',2,UNKNOWN,20,11080,0
Nat.add_pos_iff_pos_or_pos,0,SAT,18,54,0
Nat.add_pos_iff_pos_or_pos,1,SAT,13,53,0
Nat.add_pos_iff_pos_or_pos,2,SAT,12,53,0
Nat.add_pos_iff_pos_or_pos,3,SAT,9,54,0
Nat.add_pos_iff_pos_or_pos,4,SAT,16,54,0
Nat.mul_add_div,0,SAT,14,54,0
Nat.mul_add_div,1,SAT,26,1411,1
Nat.mul_add_div,2,SAT,19,805,0
Nat.mul_add_div,3,SAT,25,1011,0
Nat.mul_add_div,4,SAT,26,55,1
Nat.mul_add_div,5,SAT,27,1371,0
Nat.mul_add_div,6,SAT,40,108,1
Nat.mul_mul_mul_comm,0,SAT,7,58,0
Nat.mul_mul_mul_comm,1,SAT,7,58,0
Nat.mul_mul_mul_comm,2,SAT,9,1112,0
Nat.mul_mul_mul_comm,3,SAT,3,555,1
Nat.mul_mul_mul_comm,4,SAT,3,53,0
Nat.mul_mul_mul_comm,5,SAT,4,55,0
Nat.mul_mul_mul_comm,6,SAT,4,654,0
Nat.mul_mul_mul_comm,7,SAT,5,55,0
Nat.mul_mul_mul_comm,8,SAT,2,54,0
Nat.mul_mul_mul_comm,9,SAT,3,53,1
Nat.mul_mul_mul_comm,10,SAT,3,54,0
Nat.mul_mul_mul_comm,11,SAT,5,908,0
Nat.div_left_inj,0,SAT,20,55,0
Nat.div_left_inj,1,SAT,15,54,0
Nat.div_left_inj,2,SAT,16,906,0
Nat.div_left_inj,3,SAT,19,54,0
Nat.div_left_inj,4,SAT,15,54,0
Nat.div_left_inj,5,SAT,15,54,0
Nat.div_left_inj,6,SAT,15,54,0
Nat.div_left_inj,7,SAT,17,3912,0
Nat.div_left_inj,8,SAT,18,54,0
Nat.add_eq_min_iff,0,UNKNOWN,16,11074,0
Nat.add_eq_min_iff,1,UNKNOWN,22,11077,0
Nat.add_eq_min_iff,2,UNKNOWN,22,11077,0
Nat.sub_add_eq_max,0,UNKNOWN,16,11075,0
Nat.sub_add_eq_max,1,UNKNOWN,13,11079,0
Nat.eq_zero_of_le_div,0,SAT,13,54,0
Nat.eq_zero_of_le_div,1,SAT,12,53,1
Nat.eq_zero_of_le_div,2,SAT,13,53,0
Nat.div_eq_self,0,SAT,22,55,0
Nat.div_eq_self,1,SAT,16,54,0
Nat.div_eq_self,2,SAT,22,57,0
Nat.div_eq_self,3,SAT,40,57,0
Nat.pow_pred_lt_pow,0,SAT,23,160,0
Nat.pow_pred_lt_pow,1,SAT,30,107,0
Nat.pow_pred_lt_pow,2,SAT,50,1531,0
Nat.pow_pred_lt_pow,3,SAT,17,55,0
Nat.pow_pred_lt_pow,4,SAT,17,55,0
Nat.mod_mod,0,SAT,19,1008,0
Nat.mod_mod,1,SAT,21,55,0
Nat.mul_mod_mod,0,SAT,20,54,0
Nat.mul_mod_mod,1,SAT,20,55,0
Nat.mul_mod_mod,2,SAT,34,57,0
Nat.mul_mod_mod,3,SAT,35,57,0
Nat.mul_mod_mod,4,SAT,31,57,0
Nat.mul_mod_mod,5,SAT,39,108,0
Nat.add_pos_left,0,SAT,27,1619,0
Nat.add_pos_left,1,SAT,22,55,0
Nat.add_pos_left,2,UNKNOWN,17,10222,0
Nat.add_pos_left,3,SAT,13,54,0
Nat.add_eq_left,0,SAT,4,55,0
Nat.add_eq_left,1,SAT,2,54,0
Nat.add_eq_left,2,SAT,2,54,0
Nat.eq_mul_of_div_eq_left,0,SAT,17,958,0
Nat.eq_mul_of_div_eq_left,1,SAT,5,56,0
Nat.eq_mul_of_div_eq_left,2,SAT,18,6216,1
Nat.eq_mul_of_div_eq_left,3,SAT,14,505,0
Nat.eq_mul_of_div_eq_left,4,SAT,17,53,1
Nat.eq_mul_of_div_eq_left,5,SAT,17,54,0
Nat.eq_mul_of_div_eq_left,6,SAT,13,54,0
Nat.eq_mul_of_div_eq_left,7,SAT,14,54,0
Nat.pred_min_pred,0,UNKNOWN,19,7928,1
Nat.pred_min_pred,1,UNKNOWN,19,7768,0
Nat.pred_min_pred,2,UNKNOWN,21,7567,1
Nat.pow_add',0,SAT,6,55,0
Nat.pow_add',1,SAT,5,55,0
Nat.pow_add',2,SAT,2,54,0
Nat.pow_add',3,SAT,3,53,1
Nat.pow_add',4,SAT,3,54,0
Nat.pow_add',5,SAT,2,1159,0
Nat.div_lt_div_left,0,SAT,19,505,0
Nat.div_lt_div_left,1,SAT,14,54,0
Nat.div_lt_div_left,2,SAT,17,53,0
Nat.div_lt_div_left,3,SAT,14,53,0
Nat.div_lt_div_left,4,SAT,22,54,0
Nat.div_lt_div_left,5,SAT,17,1314,0
Nat.div_lt_div_left,6,SAT,22,55,0
Nat.div_lt_div_left,7,SAT,20,756,0
Nat.div_lt_div_left,8,SAT,17,54,0
Nat.div_lt_div_left,9,SAT,16,54,0
Nat.div_lt_div_left,10,SAT,15,54,0
Nat.succ_min_succ,0,UNKNOWN,17,8026,0
Nat.succ_min_succ,1,UNKNOWN,19,6216,0
Nat.dvd_div_iff_mul_dvd,0,UNKNOWN,17,11072,0
Nat.dvd_div_iff_mul_dvd,1,UNKNOWN,11,11076,0
Nat.dvd_div_iff_mul_dvd,2,UNKNOWN,15,11072,0
Nat.dvd_div_iff_mul_dvd,3,UNKNOWN,17,11069,1
Nat.dvd_div_iff_mul_dvd,4,UNKNOWN,17,11076,0
Nat.dvd_div_iff_mul_dvd,5,UNKNOWN,19,11066,1
Nat.dvd_div_iff_mul_dvd,6,UNKNOWN,13,11068,1
Nat.dvd_div_iff_mul_dvd,7,UNKNOWN,11,11073,0
Nat.eq_of_dvd_of_lt_two_mul,0,SAT,14,404,0
Nat.eq_of_dvd_of_lt_two_mul,1,SAT,13,404,0
Nat.eq_of_dvd_of_lt_two_mul,2,SAT,3,55,0
Nat.eq_of_dvd_of_lt_two_mul,3,UNSAT,11,53,0
Nat.eq_of_dvd_of_lt_two_mul,4,UNSAT,13,54,0
Nat.mod_two_eq_zero_or_one,0,SAT,14,855,0
Nat.eq_zero_of_dvd_of_div_eq_zero,0,SAT,16,54,0
Nat.eq_zero_of_dvd_of_div_eq_zero,1,SAT,2,54,0
Nat.eq_zero_of_dvd_of_div_eq_zero,2,SAT,16,55,0
Nat.add_le_mul,0,SAT,20,55,0
Nat.add_le_mul,1,SAT,15,59,0
Nat.add_le_mul,2,UNKNOWN,23,11059,0
Nat.add_le_mul,3,UNKNOWN,16,11076,0
Nat.sub_sub_self,0,SAT,3,53,0
Nat.sub_sub_self,1,SAT,16,53,0
Nat.sub_sub_self,2,SAT,10,54,0
