theorem,mutant,result,encoding,nunchaku,recovery
Option.guard_eq_none_iff,0,SAT,4,557,0
Option.map_inj_right,0,SAT,6,54,0
Option.map_inj_right,1,SAT,3,556,0
Option.map_inj_right,2,SAT,5,54,0
Option.map_inj_right,3,SAT,5,56,0
Option.not_lt_filter,0,SAT,24,54,0
Option.not_lt_filter,1,SAT,39,54,0
Option.join_ne_none',0,SAT,6,57,0
Option.isNone_max,0,SAT,12,110,0
Option.isNone_max,1,SAT,11,57,0
Option.getD_of_ne_none,0,SAT,5,57,1
Option.forall_ne_none,0,SAT,6,58,0
Option.filter_eq_some_iff,0,SAT,17,111,1
Option.map_eq_none_iff,0,SAT,11,112,0
Option.min_pfilter_left,0,SAT,25,163,1
Option.get_inj,0,SAT,26,116,0
Option.merge_le_iff,0,SAT,60,176,0
Option.merge_le_iff,1,SAT,73,3620,0
Option.merge_le_iff,2,SAT,14,107,0
Option.merge_le_iff,3,SAT,20,109,1
Option.merge_le_iff,4,SAT,20,59,0
Option.merge_le_iff,5,SAT,15,57,0
Option.merge_le_iff,6,SAT,23,59,0
Option.merge_le_iff,7,SAT,25,136,0
Option.liftOrGet_some_some,0,SAT,7,2537,1
Option.liftOrGet_some_some,1,SAT,26,270,1
Option.max_filter_left,0,SAT,44,177,0
Option.ite_some_none_eq_some,0,SAT,50,126,0
Option.ite_some_none_eq_some,1,SAT,19,123,0
Option.ite_some_none_eq_some,2,SAT,10,1065,0
Option.min_guard_some,0,SAT,17,2063,0
Option.max_eq_right,0,SAT,10,54,0
Option.max_eq_right,1,SAT,10,55,0
Option.max_eq_right,2,SAT,7,54,0
Option.max_eq_right,3,SAT,11,55,0
Option.max_some_guard,0,SAT,4,107,0
Option.map_or,0,SAT,8,3027,1
Option.map_or,1,SAT,17,112,0
Option.pmap_none',0,SAT,12,911,0
Option.all_min,0,SAT,9,56,0
Option.all_min,1,SAT,15,55,1
Option.all_min,2,SAT,8,55,1
Option.isSome_iff_ne_none,0,SAT,4,55,0
Option.bind_congr,0,SAT,9,58,0
Option.bind_congr,1,UNSAT,10,60,0
Option.bind_congr,2,UNSAT,12,110,0
Option.some_get!,0,ERR_ENCODING,6,0,0
Option.any_filter,0,SAT,11,114,1
Option.any_filter,1,SAT,14,174,1
Option.join_eq_some_iff,0,SAT,16,118,0
Option.merge_le,0,SAT,61,177,0
Option.merge_le,1,SAT,24,111,0
Option.merge_le,2,SAT,31,183,1
Option.merge_le,3,UNSAT,23,319,1
Option.merge_le,4,SAT,176,709,5
Option.merge_le,5,SAT,24,412,1
Option.merge_le,6,SAT,35,264,0
Option.merge_le,7,UNSAT,71,284,0
Option.merge_le,8,SAT,214,281,0
Option.isSome_ite',0,SAT,46,227,0
Option.min_eq_right_of_lt,0,SAT,228,780,0
Option.min_eq_right_of_lt,1,SAT,34,416,0
Option.min_eq_right_of_lt,2,SAT,340,7698,0
Option.min_eq_right_of_lt,3,SAT,22,56,0
Option.get!_or,0,ERR_ENCODING,3,0,0
Option.get!_or,1,ERR_ENCODING,3,0,0
Option.ext_iff,0,SAT,2,55,0
Option.ext_iff,1,SAT,2,55,0
Option.ext_iff,2,SAT,4,56,1
Option.filter_guard,0,SAT,6,56,0
Option.filter_guard,1,SAT,6,58,0
Option.ite_none_left_eq_some,0,SAT,9,59,0
Option.isSome_max,0,SAT,16,108,1
Option.isSome_max,1,SAT,17,3288,0
Option.pbind_eq_none_iff,0,SAT,4,55,0
Option.pbind_eq_none_iff,1,SAT,4,54,0
Option.max_guard_some,0,SAT,6,54,0
Option.guard_lt_some,0,SAT,19,1457,0
Option.guard_lt_some,1,SAT,18,55,0
Option.guard_lt_some,2,SAT,20,54,0
Option.pfilter_congr,0,SAT,5,54,0
Option.map_min,0,SAT,8,54,1
Option.map_min,1,SAT,9,108,1
Option.map_min,2,SAT,15,112,0
Option.isSome_of_isSome_pbind,0,SAT,8,110,0
Option.lawfulBEq_iff,0,SAT,40,160,1
Option.min_pfilter_right,0,SAT,17,113,0
Option.merge_eq_some_iff,0,SAT,43,241,0
Option.merge_eq_some_iff,1,SAT,29,281,0
Option.merge_eq_some_iff,2,SAT,27,246,0
Option.merge_eq_some_iff,3,SAT,44,182,1
Option.right_lt_of_merge_lt,0,SAT,183,351,1
Option.right_lt_of_merge_lt,1,SAT,100,225,1
Option.right_lt_of_merge_lt,2,SAT,195,318,0
Option.right_lt_of_merge_lt,3,SAT,286,280,0
Option.right_lt_of_merge_lt,4,SAT,327,451,1
Option.right_lt_of_merge_lt,5,SAT,194,594,9
Option.right_lt_of_merge_lt,6,SAT,289,697,1
Option.pbind_none',0,SAT,28,224,1
Option.join_eq_none_iff,0,SAT,53,172,1
Option.join_eq_none_iff,1,SAT,23,273,0
Option.guard_or_guard,0,SAT,46,268,1
Option.guard_or_guard,1,SAT,25,247,0
Option.eq_some_of_filter_eq_some,0,SAT,43,359,0
Option.or_eq_none_iff,0,SAT,48,364,0
Option.or_eq_none_iff,1,SAT,19,217,0
Option.or_eq_none_iff,2,SAT,33,183,0
Option.isSome_of_isSome_filter,0,SAT,42,215,0
Option.left_le_of_merge_le,0,SAT,37,231,3
Option.left_le_of_merge_le,1,SAT,24,222,0
Option.left_le_of_merge_le,2,SAT,73,268,0
Option.left_le_of_merge_le,3,SAT,41,286,4
Option.left_le_of_merge_le,4,SAT,32,223,0
Option.left_le_of_merge_le,5,SAT,77,840,0
Option.or_eq_orElse,0,SAT,17,165,0
Option.or_eq_orElse,1,SAT,15,166,0
Option.isSome_right_of_isSome_min,0,SAT,39,236,0
Option.isSome_right_of_isSome_min,1,UNSAT,29,173,0
Option.mem_some_iff,0,SAT,6,163,0
Option.mem_some_iff,1,SAT,4,264,0
Option.mem_some_iff,2,SAT,9,277,0
Option.choice_eq_default,0,ERR_ENCODING,27,0,0
Option.bind_eq_some_iff,0,SAT,25,296,0
Option.isNone_choice_iff_not_nonempty,0,SAT,27,136,0
Option.choice_eq_none_iff_not_nonempty,0,SAT,17,248,1
Option.mem_dite_none_right,0,SAT,91,263,1
Option.mem_iff,0,SAT,49,308,0
Option.eq_none_or_eq_some,0,SAT,68,354,0
Option.dite_none_left_eq_some,0,SAT,82,190,1
Option.min_eq_right,0,SAT,29,215,0
Option.min_eq_right,1,SAT,65,220,0
Option.min_eq_right,2,SAT,56,425,1
Option.min_eq_right,3,SAT,152,334,1
Option.max_eq_some_iff,0,SAT,19,165,0
Option.max_eq_some_iff,1,SAT,31,120,0
Option.max_eq_some_iff,2,SAT,15,6208,0
Option.max_eq_some_iff,3,SAT,5,55,0
Option.max_eq_left,0,SAT,8,55,0
Option.max_eq_left,1,SAT,9,55,0
Option.max_eq_left,2,SAT,21,105,1
Option.max_eq_left,3,SAT,13,4945,1
Option.le_none,0,SAT,10,55,0
Option.SomeLtNone.wellFounded_lt,0,SAT,16,55,0
Option.isSome_pfilter_iff_get,0,SAT,4,54,0
Option.isNone_min,0,SAT,6,54,0
Option.isNone_min,1,SAT,6,2867,1
Option.mem_of_mem_join,0,SAT,6,57,0
Option.min_eq_or,0,SAT,9,56,0
Option.min_eq_or,1,SAT,5,2791,1
Option.min_eq_or,2,SAT,9,54,0
Option.min_eq_or,3,UNSAT,9,55,0
Option.min_le_right,0,SAT,7,54,0
Option.min_le_right,1,UNSAT,8,104,0
Option.min_le_right,2,SAT,8,107,0
Option.min_filter_left,0,SAT,15,5395,1
Option.isSome_or,0,SAT,5,55,0
Option.isSome_or,1,SAT,5,55,0
Option.forall,0,SAT,2,55,0
Option.mem_ite_none_left,0,SAT,6,56,0
Option.max_filter_right,0,SAT,10,56,1
Option.any_eq_true,0,SAT,5,1060,0
Option.instIdempotentOpMax,0,SAT,18,162,0
Option.eq_none_iff_forall_ne_some,0,SAT,5,65,0
Option.map_eq_some_iff,0,SAT,32,74,0
Option.some_lt_some,0,SAT,36,1863,1
Option.some_lt_some,1,SAT,28,856,0
Option.some_lt_some,2,SAT,21,213,0
Option.some_lt_some,3,SAT,16,54,0
Option.min_eq_some_iff,0,SAT,5,105,1
Option.min_eq_some_iff,1,SAT,7,57,1
Option.min_eq_some_iff,2,SAT,12,58,0
Option.wellFounded_lt,0,SAT,31,117,1
Option.le_min,0,SAT,21,113,0
Option.le_min,1,SAT,24,161,0
Option.le_min,2,SAT,36,166,1
Option.le_min,3,SAT,55,167,1
Option.le_min,4,SAT,45,160,1
Option.le_min,5,SAT,25,213,0
Option.le_min,6,SAT,92,220,0
Option.le_min,7,SAT,107,271,1
Option.eq_some_unique,0,SAT,8,215,0
Option.eq_some_unique,1,SAT,15,225,0
Option.eq_some_unique,2,UNSAT,21,252,0
Option.eq_some_unique,3,UNSAT,45,298,0
Option.some_eq_dite_none_left,0,SAT,98,350,0
Option.guard_pos,0,SAT,115,370,1
Option.or_eq_right_of_none,0,SAT,25,474,0
Option.or_eq_right_of_none,1,UNSAT,19,224,0
Option.or_eq_right_of_none,2,SAT,22,270,0
Option.liftOrGet_eq_or_eq,0,SAT,15,293,0
Option.liftOrGet_eq_or_eq,1,SAT,60,318,1
Option.liftOrGet_eq_or_eq,2,UNSAT,18,470,1
Option.liftOrGet_eq_or_eq,3,SAT,62,294,1
Option.pbind_eq_some_iff,0,SAT,117,360,0
Option.mem_dite_none_left,0,SAT,60,370,0
Option.filter_eq_none_iff,0,SAT,87,457,0
Option.min_filter_right,0,SAT,102,343,0
Option.guard_eq_some_iff,0,SAT,112,596,0
Option.guard_eq_some_iff,1,SAT,116,278,0
Option.guard_eq_some_iff,2,SAT,36,111,0
Option.filter_lt,0,SAT,83,161,1
Option.filter_lt,1,SAT,56,318,1
Option.filter_lt,2,SAT,179,127,1
Option.max_eq_left_of_lt,0,SAT,64,5102,0
Option.max_eq_left_of_lt,1,SAT,11,1706,1
Option.max_eq_left_of_lt,2,SAT,22,56,0
Option.max_eq_left_of_lt,3,SAT,22,56,0
Option.some_eq_ite_none_right,0,SAT,4,862,1
Option.merge_eq_none_iff,0,SAT,22,167,0
Option.merge_eq_none_iff,1,SAT,14,114,1
Option.merge_eq_none_iff,2,SAT,14,114,1
Option.mem_filter_iff,0,SAT,38,238,1
Option.min_eq_left_of_lt,0,SAT,98,112,0
Option.min_eq_left_of_lt,1,SAT,56,113,2
Option.min_eq_left_of_lt,2,SAT,53,4780,0
Option.min_eq_left_of_lt,3,SAT,21,55,0
Option.isSome_merge,0,SAT,6,54,0
Option.isSome_merge,1,SAT,9,906,0
Option.ne_none_iff_exists',0,SAT,6,660,0
Option.pelim_none',0,SAT,4,55,0
Option.get_merge,0,SAT,7,55,0
Option.ne_none_iff_exists,0,SAT,2,705,1
Option.some_eq_dite_none_right,0,SAT,6,55,0
Option.max_eq_or,0,SAT,8,56,0
Option.max_eq_or,1,UNSAT,9,105,1
Option.max_eq_or,2,SAT,10,106,1
Option.max_eq_or,3,SAT,10,55,1
Option.mem_some,0,SAT,3,58,0
Option.mem_some,1,SAT,4,1818,0
Option.mem_some,2,SAT,13,231,1
Option.ite_none_right_eq_some,0,SAT,36,243,1
Option.merge_join,0,SAT,98,290,0
Option.merge_join,1,SAT,59,270,0
Option.mem_map_of_mem,0,SAT,34,226,1
Option.isSome_of_isSome_pfilter,0,SAT,12,112,0
Option.any_eq_false,0,SAT,13,120,0
Option.min_eq_left,0,SAT,38,217,1
Option.min_eq_left,1,SAT,42,165,2
Option.min_eq_left,2,SAT,73,162,0
Option.min_eq_left,3,SAT,53,163,1
Option.filter_some_eq_none,0,SAT,24,113,0
Option.any_guard,0,SAT,23,111,1
Option.any_guard,1,SAT,23,270,0
Option.isSome_iff_exists,0,SAT,19,114,0
Option.isSome_left_of_isSome_min,0,SAT,12,116,0
Option.isSome_left_of_isSome_min,1,UNSAT,18,163,0
Option.pfilter_eq_some_iff,0,SAT,33,227,0
Option.some_beq_some,0,SAT,137,227,0
Option.some_beq_some,1,SAT,180,725,0
Option.bind_eq_none',0,SAT,100,428,0
Option.isSome_pbind_iff,0,SAT,39,119,0
Option.bex_ne_none,0,SAT,37,296,1
Option.merge_lt,0,SAT,285,315,1
Option.merge_lt,1,SAT,258,237,1
Option.merge_lt,2,SAT,68,212,0
Option.merge_lt,3,SAT,94,266,0
Option.merge_lt,4,UNSAT,196,1105,0
Option.merge_lt,5,SAT,318,284,1
Option.merge_lt,6,SAT,282,375,0
Option.merge_lt,7,SAT,75,262,0
Option.merge_lt,8,SAT,106,224,0
Option.merge_lt,9,UNSAT,119,423,0
Option.any_eq_true_iff_get,0,SAT,70,308,0
Option.max_pfilter_left,0,SAT,135,112,1
Option.any_max,0,SAT,38,177,4
Option.any_max,1,SAT,142,356,0
Option.any_max,2,SAT,166,363,0
Option.some_eq_ite_none_left,0,SAT,44,187,1
Option.filter_some_pos,0,SAT,42,286,0
Option.isSome_dite,0,SAT,107,355,1
Option.not_isSome_iff_eq_none,0,SAT,24,224,0
Option.eq_none_iff_forall_some_ne,0,SAT,17,184,0
Option.le_filter,0,SAT,74,381,0
Option.le_filter,1,SAT,66,228,1
Option.dite_none_right_eq_some,0,SAT,38,303,0
Option.isSome_ite,0,SAT,58,235,1
Option.guard_beq_some,0,SAT,55,415,0
Option.or_of_isNone,0,SAT,15,322,0
Option.or_of_isNone,1,UNSAT,37,246,0
Option.or_of_isNone,2,SAT,104,333,0
Option.left_lt_of_merge_lt,0,SAT,241,372,1
Option.left_lt_of_merge_lt,1,SAT,191,224,0
Option.left_lt_of_merge_lt,2,SAT,208,244,0
Option.left_lt_of_merge_lt,3,SAT,143,170,0
Option.left_lt_of_merge_lt,4,SAT,140,4554,0
Option.left_lt_of_merge_lt,5,SAT,32,107,0
Option.left_lt_of_merge_lt,6,SAT,26,156,0
Option.get_of_mem,0,SAT,4,908,0
Option.join_max,0,SAT,13,55,0
Option.join_max,1,SAT,14,1309,0
Option.isSome_eq_isSome,0,SAT,8,55,0
Option.reflBEq_iff,0,SAT,18,107,0
Option.ext,0,SAT,2,55,0
Option.ext,1,UNSAT,2,55,0
Option.ext,2,UNSAT,3,1359,0
Option.not_lt_pfilter,0,SAT,36,107,0
Option.not_lt_pfilter,1,SAT,34,1258,0
Option.isSome_of_isSome_bind,0,SAT,5,506,0
Option.none_lt,0,SAT,23,113,0
Option.none_lt,1,SAT,45,170,0
Option.isSome_min,0,SAT,14,58,0
Option.isSome_min,1,SAT,13,110,0
Option.get_of_eq_some,0,SAT,10,111,0
Option.max_eq_right_of_lt,0,SAT,52,112,1
Option.max_eq_right_of_lt,1,SAT,24,114,1
Option.max_eq_right_of_lt,2,SAT,51,5516,1
Option.max_eq_right_of_lt,3,SAT,26,120,0
Option.mem_ite_none_right,0,SAT,3,54,0
Option.guard_congr,0,SAT,3,54,0
Option.guard_congr,1,UNSAT,5,55,0
Option.guard_congr,2,UNSAT,4,55,0
Option.isNone_or,0,SAT,6,56,0
Option.isNone_or,1,SAT,9,60,0
Option.exists_ne_none,0,SAT,6,108,0
Option.any_merge,0,SAT,29,114,0
Option.any_merge,1,SAT,54,1640,0
Option.any_merge,2,SAT,8,55,0
Option.isSome_of_eq_some,0,SAT,4,55,0
Option.pelim_congr,0,SAT,5,55,0
Option.pelim_congr,1,SAT,7,56,0
Option.pelim_congr,2,UNSAT,7,56,0
Option.pelim_congr,3,UNSAT,9,109,0
Option.orElse_eq_some_iff,0,SAT,8,113,0
Option.orElse_eq_some_iff,1,SAT,13,111,0
Option.idempotentOp_merge,0,SAT,19,117,0
Option.merge_beq_none,0,SAT,55,111,0
Option.merge_beq_none,1,SAT,34,2730,0
Option.max_eq_none_iff,0,SAT,8,1807,0
Option.max_eq_none_iff,1,SAT,4,54,0
Option.max_eq_none_iff,2,SAT,5,54,0
Option.eq_none_iff_forall_not_mem,0,SAT,3,54,0
Option.or_eq_some_iff,0,SAT,3,55,0
Option.or_eq_some_iff,1,SAT,4,55,0
Option.or_eq_some_iff,2,SAT,4,1562,0
Option.or_eq_some_iff,3,SAT,5,707,0
Option.isSome_of_any,0,SAT,5,55,0
Option.any_eq_false_iff_get,0,SAT,10,56,0
Option.max_le,0,SAT,12,109,0
Option.max_le,1,SAT,20,109,0
Option.max_le,2,SAT,17,111,1
Option.max_le,3,SAT,30,110,0
Option.max_le,4,SAT,23,161,1
Option.max_le,5,SAT,22,6512,0
Option.max_le,6,SAT,11,55,0
Option.max_le,7,SAT,11,107,0
