theorem,mutant,result,encoding,nunchaku,recovery
Int.neg_inj,0,SAT,6,905,0
Int.neg_inj,1,SAT,6,55,0
Int.neg_inj,2,SAT,4,1005,0
Int.negOfNat_add,0,SAT,6,55,0
Int.negOfNat_add,1,SAT,6,54,0
Int.mul_ne_zero,0,SAT,4,54,1
Int.mul_ne_zero,1,SAT,6,1968,0
Int.mul_ne_zero,2,UNSAT,9,55,0
Int.mul_ne_zero,3,UNSAT,9,56,0
Int.sub_mul,0,SAT,15,6264,0
Int.sub_mul,1,SAT,13,1757,0
Int.sub_mul,2,SAT,12,54,0
Int.sub_mul,3,SAT,8,54,0
Int.sub_mul,4,SAT,7,54,0
Int.sub_mul,5,SAT,8,55,0
Int.add_def,0,SAT,7,54,0
Int.add_def,1,SAT,6,106,0
Int.mul_neg,0,SAT,15,108,0
Int.mul_neg,1,SAT,39,170,0
Int.sub_eq_iff_eq_add',0,SAT,32,271,1
Int.sub_eq_iff_eq_add',1,SAT,40,271,1
Int.sub_eq_iff_eq_add',2,SAT,42,182,1
Int.sub_eq_iff_eq_add',3,SAT,90,311,1
Int.sub_eq_iff_eq_add',4,SAT,76,225,1
Int.sub_eq_iff_eq_add',5,SAT,114,258,0
Int.sub_eq_iff_eq_add',6,SAT,129,298,0
Int.neg_mul,0,SAT,24,261,1
Int.neg_mul,1,SAT,29,261,1
Int.cast_ofNat_Int,0,UNSAT,20,224,0
Int.neg_add_cancel_right,0,SAT,33,213,0
Int.neg_add_cancel_right,1,SAT,31,313,1
Int.neg_mul_neg,0,SAT,27,211,1
Int.neg_mul_neg,1,SAT,26,412,1
Int.add_right_comm,0,SAT,47,376,1
Int.add_right_comm,1,SAT,128,361,0
Int.add_right_comm,2,SAT,197,529,0
Int.add_right_comm,3,SAT,170,579,0
Int.add_right_comm,4,SAT,48,219,0
Int.add_right_comm,5,SAT,73,569,1
Int.subNatNat_of_lt,0,SAT,97,181,0
Int.subNatNat_of_lt,1,SAT,385,534,0
Int.subNatNat_of_lt,2,SAT,478,372,0
Int.negSucc_mul_negSucc,0,SAT,160,5206,0
Int.negSucc_mul_negSucc,1,SAT,6,55,0
Int.mul_eq_zero,0,SAT,4,55,0
Int.mul_eq_zero,1,SAT,8,156,0
Int.mul_eq_zero,2,SAT,4,1510,1
Int.mul_eq_zero,3,SAT,7,805,1
Int.add_neg_cancel_right,0,SAT,16,57,0
Int.add_neg_cancel_right,1,SAT,13,53,1
Int.neg_ofNat_eq_negSucc_add_one_iff,0,SAT,9,2010,0
Int.neg_ofNat_eq_negSucc_add_one_iff,1,SAT,9,55,0
Int.neg_ofNat_eq_negSucc_add_one_iff,2,SAT,8,55,0
Int.add_neg_cancel_left,0,SAT,20,2719,0
Int.add_neg_cancel_left,1,SAT,11,53,0
Int.subNatNat_elim,0,UNKNOWN,4,11071,0
Int.subNatNat_elim,1,UNKNOWN,12,11072,0
Int.subNatNat_elim,2,UNKNOWN,12,11068,0
Int.subNatNat_elim,3,UNKNOWN,5,11065,0
Int.mul_comm,0,SAT,7,56,1
Int.mul_comm,1,SAT,4,53,0
Int.sub_sub,0,SAT,6,54,0
Int.sub_sub,1,SAT,7,55,0
Int.sub_sub,2,SAT,8,54,0
Int.sub_sub,3,SAT,16,3027,0
Int.sub_sub,4,SAT,10,54,0
Int.sub_sub,5,SAT,10,54,0
Int.negSucc_mul_ofNat,0,SAT,6,56,0
Int.negSucc_mul_ofNat,1,SAT,12,56,0
Int.eq_one_of_mul_eq_self_left,0,SAT,9,1614,0
Int.eq_one_of_mul_eq_self_left,1,SAT,3,55,0
Int.eq_one_of_mul_eq_self_left,2,SAT,6,757,0
Int.subNatNat_sub,0,SAT,7,55,0
Int.subNatNat_sub,1,SAT,19,57,0
Int.subNatNat_sub,2,SAT,22,57,0
Int.subNatNat_sub,3,SAT,33,1611,0
Int.subNatNat_sub,4,SAT,21,54,0
Int.subNatNat_sub,5,SAT,17,53,0
Int.subNatNat_sub,6,SAT,13,54,0
Int.negSucc_add_negSucc,0,SAT,5,54,0
Int.negSucc_add_negSucc,1,SAT,6,55,1
Int.add_sub_cancel,0,SAT,11,55,1
Int.add_sub_cancel,1,SAT,14,165,0
Int.eq_neg_of_eq_neg,0,SAT,13,2248,0
Int.eq_neg_of_eq_neg,1,SAT,10,57,0
Int.eq_neg_of_eq_neg,2,SAT,9,1260,0
Int.ofNat_add_ofNat,0,SAT,9,156,0
Int.ofNat_add_ofNat,1,SAT,9,55,0
Int.neg_ofNat_eq_negSucc_iff,0,SAT,5,54,0
Int.neg_ofNat_eq_negSucc_iff,1,SAT,6,54,1
Int.neg_ofNat_eq_negSucc_iff,2,SAT,9,56,1
Int.negSucc_inj,0,SAT,2,54,1
Int.negSucc_inj,1,SAT,2,1621,0
Int.negSucc_inj,2,SAT,3,608,0
Int.toNat_of_nonpos,0,SAT,4,506,1
Int.neg_ne_zero,0,SAT,7,55,0
Int.ofNat_ne_zero,0,SAT,4,55,0
Int.subNatNat_add_negSucc,0,SAT,5,54,0
Int.subNatNat_add_negSucc,1,SAT,7,53,1
Int.subNatNat_add_negSucc,2,SAT,6,459,0
Int.subNatNat_add_negSucc,3,SAT,13,116,1
Int.subNatNat_add_negSucc,4,SAT,31,190,0
Int.subNatNat_add_negSucc,5,SAT,22,163,0
Int.subNatNat_of_sub_eq_zero,0,SAT,53,2965,0
Int.subNatNat_of_sub_eq_zero,1,SAT,11,54,0
Int.subNatNat_of_sub_eq_zero,2,SAT,11,54,0
Int.neg_add_cancel_left,0,SAT,6,54,0
Int.neg_add_cancel_left,1,SAT,11,55,0
Int.subNatNat_of_sub_eq_succ,0,SAT,8,56,0
Int.subNatNat_of_sub_eq_succ,1,SAT,9,55,1
Int.subNatNat_of_sub_eq_succ,2,SAT,10,57,0
Int.subNatNat_of_sub_eq_succ,3,SAT,7,2480,0
Int.subNatNat_of_sub_eq_succ,4,SAT,6,54,1
Int.subNatNat_of_sub_eq_succ,5,SAT,6,55,0
Int.subNatNat_of_sub_eq_succ,6,SAT,5,1669,0
Int.eq_of_sub_eq_zero,0,SAT,3,54,0
Int.eq_of_sub_eq_zero,1,UNSAT,9,54,0
Int.eq_of_sub_eq_zero,2,UNSAT,8,55,0
Int.subNatNat_add_add,0,SAT,6,54,0
Int.subNatNat_add_add,1,SAT,5,106,0
Int.subNatNat_add_add,2,SAT,9,1610,0
Int.subNatNat_add_add,3,SAT,5,54,0
Int.subNatNat_add_add,4,SAT,5,54,0
Int.subNatNat_add_add,5,SAT,6,55,1
Int.mul_eq_mul_right_iff,0,SAT,4,55,0
Int.mul_eq_mul_right_iff,1,SAT,5,1710,1
Int.mul_eq_mul_right_iff,2,SAT,7,807,0
