theorem,mutant,result,encoding,nunchaku,recovery
Array.elem_iff,0,ERR_ENCODING,25,0,0
Array.elem_iff,1,ERR_ENCODING,26,0,0
Array.back?_eq_none_iff,0,SAT,13,53,0
Array.singleton_inj,0,SAT,4,455,0
Array.singleton_inj,1,SAT,2,53,0
Array.singleton_inj,2,SAT,2,52,0
Array.foldl_add_const,0,ERR_ENCODING,22,0,0
Array.foldl_add_const,1,ERR_ENCODING,18,0,0
Array.map_eq_append_iff,0,ERR_ENCODING,21,0,0
Array.map_eq_append_iff,1,ERR_ENCODING,20,0,0
Array.map_eq_append_iff,2,ERR_ENCODING,20,0,0
Array.append_eq_singleton_iff,0,ERR_ENCODING,19,0,0
Array.append_eq_singleton_iff,1,ERR_ENCODING,18,0,0
Array.append_eq_singleton_iff,2,ERR_ENCODING,18,0,0
Array.append_eq_singleton_iff,3,ERR_ENCODING,18,0,0
Array.any_append,0,ERR_ENCODING,25,0,0
Array.any_append,1,ERR_ENCODING,22,0,0
Array.extract_loop_succ,0,SAT,17,53,0
Array.extract_loop_succ,1,SAT,17,2910,0
Array.extract_loop_succ,2,SAT,21,53,0
Array.extract_loop_succ,3,SAT,19,2709,0
Array.some_eq_getElem?_iff,0,SAT,18,53,0
Array.eq_replicate_of_mem,0,SAT,5,654,1
Array.mem_of_contains_eq_true,0,ERR_ENCODING,30,0,0
Array.mem_of_contains_eq_true,1,SAT,16,53,0
Array.findRevM?_eq_findM?_reverse,0,ERR_ENCODING,1,0,0
Array.size_pos_iff,0,SAT,12,53,0
Array.size_pos_iff,1,SAT,13,52,1
Array.foldrM_congr,0,ERR_ENCODING,0,0,0
Array.foldrM_congr,1,ERR_ENCODING,1,0,0
Array.foldrM_congr,2,ERR_ENCODING,1,0,0
Array.foldrM_congr,3,ERR_ENCODING,0,0,0
Array.foldrM_congr,4,ERR_ENCODING,0,0,0
Array.foldrM_congr,5,ERR_ENCODING,0,0,0
Array.foldrM_congr,6,ERR_ENCODING,1,0,0
Array.foldrM_congr,7,ERR_ENCODING,1,0,0
Array.foldrM_congr,8,ERR_ENCODING,1,0,0
Array.foldrM_congr,9,ERR_ENCODING,1,0,0
Array.foldrM_congr,10,ERR_ENCODING,1,0,0
Array.foldrM_congr,11,ERR_ENCODING,0,0,0
Array.foldrM_congr,12,ERR_ENCODING,1,0,0
Array.foldrM_congr,13,ERR_ENCODING,1,0,0
Array.foldrM_congr,14,ERR_ENCODING,1,0,0
Array.foldrM_congr,15,ERR_ENCODING,0,0,0
Array.foldrM_congr,16,ERR_ENCODING,0,0,0
Array.foldrM_congr,17,ERR_ENCODING,1,0,0
Array.foldrM_congr,18,ERR_ENCODING,1,0,0
Array.foldrM_congr,19,ERR_ENCODING,1,0,0
Array.replace_replicate_self,0,ERR_ENCODING,29,0,0
Array.replace_replicate_self,1,ERR_ENCODING,46,0,0
Array.replace_replicate_self,2,ERR_ENCODING,53,0,0
Array.replace_replicate_self,3,ERR_ENCODING,54,0,0
Array.filter_append,0,ERR_ENCODING,40,0,0
Array.filter_append,1,ERR_ENCODING,37,0,0
Array.filter_append,2,ERR_ENCODING,38,0,0
Array.empty_eq_append_iff,0,ERR_ENCODING,26,0,0
Array.empty_eq_append_iff,1,ERR_ENCODING,19,0,0
Array.empty_eq_append_iff,2,ERR_ENCODING,17,0,0
Array.filter_eq_append_iff,0,ERR_ENCODING,18,0,0
Array.filter_eq_append_iff,1,ERR_ENCODING,18,0,0
Array.filter_eq_append_iff,2,ERR_ENCODING,18,0,0
Array.filter_eq_append_iff,3,ERR_ENCODING,20,0,0
Array.filter_eq_append_iff,4,ERR_ENCODING,18,0,0
Array.filter_eq_append_iff,5,ERR_ENCODING,18,0,0
Array.filter_eq_append_iff,6,ERR_ENCODING,18,0,0
Array.foldr_push_eq_append,0,ERR_ENCODING,24,0,0
Array.forall_mem_filterMap,0,ERR_ENCODING,31,0,0
Array.exists_of_mem_flatMap,0,SAT,16,53,1
Array.mapM_eq_foldlM,0,ERR_ENCODING,1,0,0
Array.getElem_set_ne,0,SAT,14,53,0
Array.forall_getElem,0,SAT,30,53,0
Array.isEmpty_eq_false_iff_exists_mem,0,SAT,17,604,0
Array.mem_reverse,0,SAT,29,53,0
Array.filter_filter,0,ERR_ENCODING,19,0,0
Array.filter_filter,1,ERR_ENCODING,19,0,0
Array.foldl_push_eq_append,0,ERR_ENCODING,19,0,0
Array.push_eq_append_iff,0,ERR_ENCODING,34,0,0
Array.push_eq_append_iff,1,ERR_ENCODING,18,0,0
Array.push_eq_append_iff,2,ERR_ENCODING,18,0,0
Array.push_eq_append_iff,3,ERR_ENCODING,18,0,0
Array.push_eq_append_iff,4,ERR_ENCODING,18,0,0
Array.push_eq_append_iff,5,ERR_ENCODING,19,0,0
Array.push_eq_append_iff,6,ERR_ENCODING,19,0,0
Array.push_eq_append_iff,7,ERR_ENCODING,20,0,0
Array.all_push',0,ERR_ENCODING,32,0,0
Array.foldlM_congr,0,ERR_ENCODING,1,0,0
Array.foldlM_congr,1,ERR_ENCODING,1,0,0
Array.foldlM_congr,2,ERR_ENCODING,1,0,0
Array.foldlM_congr,3,ERR_ENCODING,1,0,0
Array.foldlM_congr,4,ERR_ENCODING,1,0,0
Array.foldlM_congr,5,ERR_ENCODING,1,0,0
Array.foldlM_congr,6,ERR_ENCODING,1,0,0
Array.foldlM_congr,7,ERR_ENCODING,1,0,0
Array.foldlM_congr,8,ERR_ENCODING,1,0,0
Array.foldlM_congr,9,ERR_ENCODING,1,0,0
Array.foldlM_congr,10,ERR_ENCODING,1,0,0
Array.foldlM_congr,11,ERR_ENCODING,1,0,0
Array.foldlM_congr,12,ERR_ENCODING,1,0,0
Array.foldlM_congr,13,ERR_ENCODING,1,0,0
Array.foldlM_congr,14,ERR_ENCODING,1,0,0
Array.foldlM_congr,15,ERR_ENCODING,1,0,0
Array.foldlM_congr,16,ERR_ENCODING,1,0,0
Array.foldlM_congr,17,ERR_ENCODING,1,0,0
Array.foldlM_congr,18,ERR_ENCODING,1,0,0
Array.foldlM_congr,19,ERR_ENCODING,1,0,0
Array.forall_mem_flatMap,0,ERR_ENCODING,59,0,0
Array.filter_replicate_of_pos,0,ERR_ENCODING,20,0,0
Array.filter_replicate_of_pos,1,ERR_ENCODING,20,0,0
Array.filter_replicate_of_pos,2,ERR_ENCODING,19,0,0
Array.filter_replicate_of_pos,3,ERR_ENCODING,19,0,0
Array.mem_dite_empty_right,0,SAT,16,53,0
Array.getElem?_setIfInBounds,0,SAT,15,54,0
Array.getElem?_setIfInBounds,1,SAT,16,455,1
Array.foldlM_start_stop,0,ERR_ENCODING,1,0,0
Array.foldlM_start_stop,1,ERR_ENCODING,1,0,0
Array.foldl_congr,0,ERR_ENCODING,39,0,0
Array.foldl_congr,1,ERR_ENCODING,27,0,0
Array.foldl_congr,2,ERR_ENCODING,19,0,0
Array.foldl_congr,3,ERR_ENCODING,19,0,0
Array.foldl_congr,4,ERR_ENCODING,18,0,0
Array.foldl_congr,5,ERR_ENCODING,17,0,0
Array.foldl_congr,6,ERR_ENCODING,17,0,0
Array.foldl_congr,7,ERR_ENCODING,17,0,0
Array.foldl_congr,8,ERR_ENCODING,17,0,0
Array.foldl_congr,9,ERR_ENCODING,18,0,0
Array.foldl_congr,10,ERR_ENCODING,17,0,0
Array.foldl_congr,11,ERR_ENCODING,18,0,0
Array.foldl_congr,12,ERR_ENCODING,17,0,0
Array.foldl_congr,13,ERR_ENCODING,17,0,0
Array.foldl_congr,14,ERR_ENCODING,17,0,0
Array.foldl_congr,15,ERR_ENCODING,17,0,0
Array.foldl_congr,16,ERR_ENCODING,17,0,0
