theorem,mutant,result,encoding,nunchaku,recovery
BitVec.mul_twoPow_eq_shiftLeft,0,SAT,18,54,0
BitVec.zero_sle_iff_msb_eq_false,0,SAT,33,104,0
BitVec.ule_eq_decide_le,0,SAT,18,805,0
BitVec.ule_eq_decide_le,1,SAT,46,55,1
BitVec.toInt_neg_eq_of_msb,0,SAT,47,107,0
BitVec.self_eq_add_right,0,SAT,36,106,0
BitVec.self_eq_add_right,1,SAT,33,1361,1
BitVec.self_eq_add_right,2,SAT,22,54,0
BitVec.getMsbD_rotateLeft_of_lt,0,UNKNOWN,36,11129,0
BitVec.getMsbD_rotateLeft_of_lt,1,SAT,26,154,0
BitVec.getMsbD_rotateLeft_of_lt,2,SAT,26,1005,1
BitVec.getMsbD_rotateLeft_of_lt,3,SAT,39,104,1
BitVec.getMsbD_rotateLeft_of_lt,4,SAT,36,155,0
BitVec.allOnes_shiftLeft_and_shiftLeft,0,SAT,51,107,0
BitVec.not_xor_right,0,SAT,42,1766,0
BitVec.not_xor_right,1,SAT,32,104,1
BitVec.getElem_sshiftRight',0,SAT,44,105,0
BitVec.getElem_sshiftRight',1,SAT,57,2821,1
BitVec.toInt_sub,0,SAT,37,105,0
BitVec.toInt_sub,1,SAT,32,105,0
BitVec.toNat_shiftLeft_or_toNat_lt_two_pow_add,0,SAT,31,104,1
BitVec.toNat_shiftLeft_or_toNat_lt_two_pow_add,1,SAT,42,108,0
BitVec.eq_of_toInt_eq,0,SAT,44,111,1
BitVec.eq_of_toInt_eq,1,UNSAT,100,220,0
BitVec.eq_of_toInt_eq,2,UNSAT,156,164,1
BitVec.toInt_ediv_toInt_nonpos_of_nonneg_of_nonpos,0,SAT,133,313,1
BitVec.toInt_ediv_toInt_nonpos_of_nonneg_of_nonpos,1,SAT,252,327,0
BitVec.toInt_ediv_toInt_nonpos_of_nonneg_of_nonpos,2,SAT,216,217,1
BitVec.toInt_ediv_toInt_nonpos_of_nonneg_of_nonpos,3,SAT,99,2532,0
BitVec.allOnes_shiftLeft_or_shiftLeft,0,SAT,30,54,1
BitVec.le_toInt_mul_toInt,0,UNKNOWN,30,11079,0
BitVec.le_toInt_mul_toInt,1,UNKNOWN,26,11077,1
BitVec.getLsbD_ofNat,0,SAT,22,655,0
BitVec.getLsbD_ofNat,1,SAT,29,104,0
BitVec.getLsbD_ofNat,2,SAT,45,1363,1
BitVec.getLsbD_ofNat,3,SAT,34,55,0
BitVec.add_left_eq_self,0,SAT,20,805,0
BitVec.add_left_eq_self,1,SAT,40,106,0
BitVec.add_left_eq_self,2,SAT,25,55,0
BitVec.ofNat_sub_ofNat,0,SAT,22,54,0
BitVec.ofNat_sub_ofNat,1,SAT,22,1465,0
BitVec.ofNat_sub_ofNat,2,SAT,22,605,0
BitVec.ofNat_sub_ofNat,3,SAT,19,54,0
BitVec.ule_eq_not_ult,0,SAT,17,756,0
BitVec.ule_eq_not_ult,1,SAT,21,107,0
BitVec.intMin_le_iff_msb_eq_true,0,SAT,44,104,0
BitVec.intMin_le_iff_msb_eq_true,1,SAT,39,1859,0
BitVec.msb_extractLsb',0,SAT,35,1558,0
BitVec.msb_extractLsb',1,SAT,42,1008,0
BitVec.getLsbD_signExtend,0,SAT,39,155,0
BitVec.getLsbD_signExtend,1,SAT,40,154,1
BitVec.signExtend_xor,0,SAT,41,105,0
BitVec.signExtend_xor,1,SAT,99,6329,0
BitVec.saddOverflow_assoc,0,SAT,29,105,0
BitVec.saddOverflow_assoc,1,SAT,28,105,0
BitVec.saddOverflow_assoc,2,SAT,44,107,0
BitVec.saddOverflow_assoc,3,SAT,80,6325,1
BitVec.saddOverflow_assoc,4,SAT,28,103,1
BitVec.saddOverflow_assoc,5,SAT,28,606,0
BitVec.saddOverflow_assoc,6,SAT,27,505,1
BitVec.saddOverflow_assoc,7,SAT,31,103,1
BitVec.sub_right_inj,0,SAT,21,53,0
BitVec.sub_right_inj,1,SAT,30,55,0
BitVec.sub_right_inj,2,SAT,40,108,0
BitVec.sub_right_inj,3,SAT,69,2125,1
BitVec.sub_right_inj,4,SAT,26,55,0
BitVec.sub_right_inj,5,SAT,22,54,0
BitVec.sub_right_inj,6,SAT,20,54,0
BitVec.le_total,0,UNSAT,18,53,0
BitVec.le_total,1,UNSAT,18,1263,0
BitVec.le_total,2,SAT,23,506,0
BitVec.getLsbD_shiftLeftZeroExtend,0,SAT,28,154,0
BitVec.getLsbD_shiftLeftZeroExtend,1,SAT,30,1255,1
BitVec.sub_eq_xor,0,SAT,33,856,0
BitVec.sub_eq_xor,1,SAT,30,55,0
BitVec.xor_left_inj,0,SAT,30,55,0
BitVec.xor_left_inj,1,SAT,29,105,0
BitVec.xor_left_inj,2,SAT,31,2065,0
BitVec.xor_left_inj,3,SAT,35,1460,0
BitVec.xor_left_inj,4,SAT,44,1532,1
BitVec.xor_left_inj,5,SAT,70,1007,1
BitVec.xor_left_inj,6,SAT,28,54,1
