theorem,mutant,result,encoding,nunchaku,recovery
List.append_assoc,0,SAT,2,505,0
List.append_assoc,1,SAT,5,55,0
List.append_assoc,2,SAT,2,53,0
List.append_assoc,3,SAT,3,54,0
List.append_assoc,4,SAT,3,53,1
List.append_assoc,5,SAT,3,55,1
List.dropLast_cons₂,0,SAT,23,1257,1
List.dropLast_cons₂,1,SAT,15,54,0
List.filterTR_loop_eq,0,SAT,8,709,0
List.filterTR_loop_eq,1,SAT,20,108,1
List.drop_eq_nil_of_le,0,SAT,11,114,1
List.intersperse_single,0,SAT,32,4117,0
List.intersperse_single,1,UNSAT,11,3757,0
List.tailD_cons,0,UNSAT,3,404,0
List.tailD_cons,1,SAT,4,55,1
List.replace_cons,0,SAT,13,57,0
List.replace_cons,1,SAT,15,57,0
List.replace_cons,2,SAT,21,108,0
List.replace_cons,3,SAT,22,110,4
List.replace_cons,4,SAT,24,108,0
List.replace_cons,5,UNSAT,25,4729,0
List.replace_cons,6,SAT,14,5763,1
List.cons_append,0,SAT,7,56,0
List.cons_append,1,SAT,4,54,0
List.getLastD_cons,0,UNSAT,5,53,1
List.getLastD_cons,1,SAT,7,57,0
List.append_cons,0,SAT,3,55,0
List.append_cons,1,SAT,4,756,0
List.instReflBEq,0,SAT,17,811,0
List.erase_cons,0,SAT,13,107,1
List.erase_cons,1,SAT,17,112,0
List.elem_cons,0,SAT,10,56,1
List.elem_cons,1,UNSAT,9,105,0
List.elem_cons,2,SAT,13,165,0
List.isPrefixOf_cons₂,0,SAT,26,109,1
List.isPrefixOf_cons₂,1,SAT,30,5675,1
List.isPrefixOf_cons₂,2,SAT,17,54,0
List.isPrefixOf_cons₂,3,SAT,11,53,0
List.elem_eq_true_of_mem,0,SAT,17,54,0
List.elem_eq_true_of_mem,1,SAT,7,3024,0
List.length_append,0,SAT,4,55,0
List.length_append,1,SAT,4,54,1
List.extract_eq_drop_take,0,SAT,6,54,0
List.extract_eq_drop_take,1,SAT,6,55,0
List.beq_cons₂,0,SAT,20,3120,0
List.beq_cons₂,1,SAT,20,54,0
List.beq_cons₂,2,SAT,12,54,0
List.beq_cons₂,3,SAT,8,54,0
List.cons_lex_cons,0,SAT,4,55,0
List.cons_lex_cons,1,SAT,9,56,0
List.cons_lex_cons,2,SAT,7,55,1
List.cons_lex_cons,3,SAT,14,112,0
List.reverseAux_reverseAux,0,SAT,8,209,0
List.reverseAux_reverseAux,1,SAT,21,166,0
List.reverseAux_reverseAux,2,SAT,20,273,0
List.reverseAux_reverseAux,3,SAT,19,226,1
List.reverseAux_reverseAux,4,SAT,20,118,3
List.reverseAux_reverseAux,5,SAT,25,183,0
List.reverseAux_eq_append,0,SAT,15,179,0
List.reverseAux_eq_append,1,SAT,44,497,0
List.range'_one,0,UNSAT,73,845,0
List.range'_one,1,SAT,46,633,0
List.unzip_cons,0,UNSAT,174,657,0
List.filterMap_cons,0,UNSAT,217,203,0
List.reverseAux_cons,0,SAT,40,188,0
List.reverseAux_cons,1,SAT,41,276,0
List.pairwise_cons,0,SAT,254,325,2
List.mem_append_right,0,SAT,89,278,0
List.mem_append_right,1,UNKNOWN,177,11201,0
List.mem_append_right,2,SAT,19,55,0
List.range'_succ,0,SAT,7,56,1
List.range'_succ,1,SAT,3,54,0
List.range'_succ,2,SAT,4,104,0
List.range'_succ,3,SAT,5,56,0
List.range'_succ,4,SAT,6,1513,0
List.range'_succ,5,SAT,9,55,0
List.isEqv_cons₂,0,SAT,19,55,0
List.isEqv_cons₂,1,SAT,16,1218,0
List.isEqv_cons₂,2,SAT,12,55,0
List.isEqv_cons₂,3,SAT,12,55,0
List.range'_zero,0,UNSAT,4,54,0
List.range'_zero,1,UNSAT,4,56,0
List.mem_append_left,0,SAT,45,57,0
List.mem_append_left,1,SAT,29,105,1
List.mem_append_left,2,UNKNOWN,50,11083,0
List.of_concat_eq_concat,0,SAT,2,54,0
List.of_concat_eq_concat,1,UNKNOWN,3,11068,0
List.of_concat_eq_concat,2,UNSAT,8,507,0
List.of_concat_eq_concat,3,UNSAT,3,54,0
List.of_concat_eq_concat,4,UNKNOWN,6,11066,0
List.replicateTR_loop_replicate_eq,0,SAT,5,54,0
List.replicateTR_loop_replicate_eq,1,SAT,5,54,0
List.lex_cons_cons,0,SAT,6,106,0
List.lex_cons_cons,1,SAT,6,56,0
List.lex_cons_cons,2,SAT,11,2828,0
List.lex_cons_cons,3,SAT,12,56,0
List.find?_cons,0,UNSAT,10,805,0
List.replace_nil,0,UNSAT,10,5663,0
List.replace_nil,1,UNSAT,8,56,0
List.headD_cons,0,SAT,4,55,0
List.headD_cons,1,UNSAT,3,654,0
List.intersperse_cons₂,0,SAT,16,56,0
List.intersperse_cons₂,1,SAT,28,4564,0
List.intersperse_cons₂,2,SAT,8,54,1
List.intersperse_cons₂,3,SAT,8,259,0
List.intersperse_cons₂,4,SAT,10,55,0
List.intersperse_cons₂,5,SAT,10,56,0
List.findSome?_cons,0,UNSAT,19,56,1
List.mem_of_elem_eq_true,0,SAT,57,109,1
List.mem_of_elem_eq_true,1,SAT,96,113,1
List.append_eq,0,SAT,23,169,0
List.append_eq,1,SAT,13,112,0
List.instLawfulBEq,0,SAT,73,3174,1
List.lookup_cons,0,UNSAT,37,5674,0
List.lookup_cons,1,SAT,14,54,0
List.lookup_cons,2,SAT,17,3211,1
