theorem,mutant,result,encoding,nunchaku,recovery
Nat.gcd_pos_of_pos_left,0,SAT,68,118,0
Nat.gcd_pos_of_pos_left,1,UNKNOWN,25,11119,0
Nat.gcd_pos_of_pos_left,2,SAT,17,54,0
Nat.gcd_pos_of_pos_left,3,SAT,14,555,0
Nat.gcd_eq_iff,0,UNKNOWN,21,11070,0
Nat.gcd_eq_iff,1,SAT,13,206,0
Nat.gcd_eq_iff,2,UNKNOWN,12,11077,0
Nat.gcd_eq_iff,3,UNKNOWN,15,11068,0
Nat.gcd_eq_iff,4,UNKNOWN,19,11068,1
Nat.gcd_eq_iff,5,UNKNOWN,18,11070,0
Nat.gcd_eq_iff,6,UNKNOWN,19,11067,0
Nat.gcd_sub_left_right_of_dvd,0,SAT,15,55,0
Nat.gcd_sub_left_right_of_dvd,1,SAT,32,56,0
Nat.gcd_sub_left_right_of_dvd,2,SAT,21,208,0
Nat.gcd_sub_left_right_of_dvd,3,SAT,38,109,0
Nat.gcd_sub_left_right_of_dvd,4,SAT,42,1570,0
Nat.gcd_sub_left_right_of_dvd,5,SAT,21,56,0
Nat.gcd_sub_left_right_of_dvd,6,SAT,25,107,0
Nat.gcd_sub_left_right_of_dvd,7,SAT,19,107,0
Nat.gcd_mul_dvd_mul_gcd,0,UNKNOWN,39,11085,0
Nat.gcd_mul_dvd_mul_gcd,1,UNKNOWN,20,11067,1
Nat.gcd_mul_dvd_mul_gcd,2,UNKNOWN,18,11066,0
Nat.gcd_mul_dvd_mul_gcd,3,UNKNOWN,17,11075,0
Nat.gcd_mul_dvd_mul_gcd,4,UNKNOWN,18,11070,0
Nat.gcd_mul_dvd_mul_gcd,5,UNKNOWN,16,11071,0
Nat.gcd_mul_right_add_left,0,SAT,15,54,0
Nat.gcd_mul_right_add_left,1,UNKNOWN,14,11180,0
Nat.gcd_mul_right_add_left,2,SAT,16,557,0
Nat.gcd_mul_right_add_left,3,UNKNOWN,19,11171,0
Nat.gcd_mul_right_add_left,4,SAT,19,504,0
Nat.gcd_mul_right_add_left,5,SAT,12,54,0
Nat.gcd_mul_right_right_of_gcd_eq_one,0,SAT,15,54,0
Nat.gcd_mul_right_right_of_gcd_eq_one,1,SAT,13,54,0
Nat.gcd_mul_right_right_of_gcd_eq_one,2,SAT,15,53,1
Nat.gcd_mul_right_right_of_gcd_eq_one,3,SAT,17,157,1
Nat.gcd_mul_right_right_of_gcd_eq_one,4,SAT,37,159,0
Nat.gcd_mul_right_right_of_gcd_eq_one,5,SAT,46,1420,0
Nat.gcd_mul_right_right_of_gcd_eq_one,6,SAT,19,55,0
Nat.gcd_rec,0,SAT,17,55,0
Nat.gcd_rec,1,SAT,30,811,0
Nat.gcd_mul_left_right,0,SAT,20,54,1
Nat.gcd_mul_left_right,1,UNKNOWN,16,11069,0
Nat.gcd_sub_self_right,0,SAT,15,54,0
