theorem,mutant,result,encoding,nunchaku,recovery
BitVec.mul_twoPow_eq_shiftLeft,0,UNKNOWN,24,11075,0
BitVec.zero_sle_iff_msb_eq_false,0,UNKNOWN,27,11130,1
BitVec.toNat_ofInt,0,UNSAT,21,253,0
BitVec.ule_eq_decide_le,0,UNSAT,19,654,0
BitVec.toInt_neg_eq_of_msb,0,UNKNOWN,40,11126,0
BitVec.self_eq_add_right,0,UNKNOWN,15,11076,1
BitVec.getMsbD_rotateLeft_of_lt,0,UNKNOWN,26,11128,1
BitVec.of_length_zero,0,UNSAT,12,53,0
BitVec.allOnes_shiftLeft_and_shiftLeft,0,UNKNOWN,19,11175,1
BitVec.toFin_allOnes,0,UNKNOWN,18,11126,0
BitVec.not_allOnes,0,UNKNOWN,19,11178,0
BitVec.getElem_allOnes,0,UNKNOWN,21,11177,1
BitVec.getElem_ofBool_zero,0,UNSAT,21,53,0
BitVec.replicate_zero,0,UNSAT,20,103,0
BitVec.not_xor_right,0,UNKNOWN,21,11181,1
BitVec.getElem_sshiftRight',0,UNKNOWN,34,11128,1
BitVec.toInt_sub,0,UNKNOWN,25,11077,1
BitVec.twoPow_zero,0,UNKNOWN,22,10277,0
BitVec.not_or_self,0,UNKNOWN,26,11180,0
BitVec.toNat_shiftLeft_or_toNat_lt_two_pow_add,0,UNKNOWN,17,11080,0
BitVec.eq_of_toInt_eq,0,UNKNOWN,23,11080,1
BitVec.toInt_ediv_toInt_nonpos_of_nonneg_of_nonpos,0,UNKNOWN,26,11077,1
BitVec.toNat_not,0,UNKNOWN,24,11181,1
BitVec.allOnes_shiftLeft_or_shiftLeft,0,UNKNOWN,21,11176,1
BitVec.le_toInt_mul_toInt,0,UNKNOWN,19,11077,0
BitVec.getLsbD_ofNat,0,UNKNOWN,20,11079,1
BitVec.add_left_eq_self,0,UNKNOWN,17,11073,0
BitVec.ofNat_sub_ofNat,0,UNKNOWN,23,11078,1
BitVec.ule_eq_not_ult,0,UNKNOWN,13,11073,1
BitVec.or_self,0,UNKNOWN,21,11128,0
BitVec.one_mul,0,UNKNOWN,17,11080,1
BitVec.intMin_le_iff_msb_eq_true,0,UNKNOWN,31,11122,0
BitVec.msb_extractLsb',0,UNKNOWN,23,11125,0
BitVec.getLsbD_signExtend,0,UNKNOWN,28,11080,0
BitVec.getElem_replicate,0,UNKNOWN,25,11174,1
BitVec.signExtend_xor,0,UNKNOWN,25,11214,1
BitVec.saddOverflow_assoc,0,UNKNOWN,24,11073,1
BitVec.sub_right_inj,0,UNKNOWN,14,11080,0
BitVec.le_total,0,UNKNOWN,22,11076,1
BitVec.getLsbD_shiftLeftZeroExtend,0,UNKNOWN,22,11175,1
BitVec.sub_eq_xor,0,UNSAT,19,53,0
BitVec.instLawfulCommIdentityHOrOfNatOfNatNat,0,UNKNOWN,27,5866,0
BitVec.neg_one_eq_allOnes,0,UNKNOWN,19,11130,0
BitVec.toInt_intMax,0,UNKNOWN,21,11115,0
BitVec.toInt_ofBool,0,UNSAT,22,52,0
BitVec.zero_sub,0,UNSAT,19,52,0
BitVec.xor_left_inj,0,UNKNOWN,20,11081,0
BitVec.getElem_ofBoolListBE,0,UNKNOWN,28,11177,1
BitVec.sshiftRight_xor_distrib,0,UNKNOWN,27,11126,0
BitVec.shiftRight_add,0,UNKNOWN,15,11171,1
BitVec.toNat_twoPow,0,UNKNOWN,17,11073,0
BitVec.toFin_sshiftRight',0,UNKNOWN,33,11128,0
BitVec.le_of_zero_length,0,UNSAT,11,52,1
BitVec.getMsbD_of_zero_length,0,UNSAT,24,53,0
BitVec.and_comm,0,UNKNOWN,22,11079,0
BitVec.getLsbD_and,0,UNKNOWN,24,11178,1
BitVec.msb_cons,0,UNKNOWN,32,11174,1
BitVec.instIdempotentOpHOr,0,UNKNOWN,21,8120,1
BitVec.getMsbD_and,0,UNKNOWN,27,11081,0
BitVec.or_eq_zero_iff,0,UNKNOWN,19,11084,0
BitVec.shiftRight_sub_one_eq_shiftConcat,0,UNKNOWN,29,11122,1
BitVec.toInt_intMin_le,0,UNKNOWN,27,11125,0
BitVec.zero_add,0,UNKNOWN,20,11076,0
BitVec.replicate_succ',0,UNKNOWN,22,11212,1
BitVec.getMsbD_ushiftRight,0,UNKNOWN,25,11174,1
BitVec.neg_two_pow_le_toInt_ediv,0,UNKNOWN,24,11076,0
BitVec.toNat_sub,0,UNSAT,15,53,0
BitVec.getLsbD_ushiftRight,0,UNKNOWN,23,11121,1
BitVec.ofBool_or_ofBool,0,UNSAT,19,52,0
BitVec.neg_le_intMin_of_msb_eq_true,0,UNKNOWN,32,11178,1
BitVec.toNat_sshiftRight'_of_msb_false,0,UNKNOWN,29,11070,0
BitVec.ofNat_lt_ofNat,0,UNSAT,15,3557,0
BitVec.instAssociativeHOr,0,UNKNOWN,25,6017,0
BitVec.msb_sshiftRight,0,UNKNOWN,41,11176,1
BitVec.toInt_abs_eq_ite_of_ne_intMin,0,UNKNOWN,29,11071,0
BitVec.toInt_and,0,UNKNOWN,25,11077,0
BitVec.abs_eq,0,UNSAT,29,3461,0
BitVec.setWidth_zero,0,UNSAT,23,803,1
BitVec.ule_iff_toNat_le,0,UNSAT,28,105,0
BitVec.getMsbD_one,0,UNKNOWN,76,11139,0
BitVec.sub_add_cancel,0,UNKNOWN,16,11077,1
BitVec.getLsbD_shiftConcat_eq_decide,0,UNKNOWN,28,11125,1
BitVec.neg_mul_not_eq_add_mul,0,UNKNOWN,21,11127,1
BitVec.extractLsb'_zero,0,UNKNOWN,14,11177,0
BitVec.shiftLeft_xor_distrib,0,UNKNOWN,20,11179,0
BitVec.toInt_pos_iff,0,UNKNOWN,25,11078,1
BitVec.getLsbD_succ_last,0,UNKNOWN,20,11127,0
BitVec.sshiftRight_eq_of_msb_true,0,ERR_NUNCHAKU,31,53,0
BitVec.ofBool_and_ofBool,0,UNSAT,19,52,0
BitVec.lt_allOnes_iff,0,UNKNOWN,14,11069,0
BitVec.lt_of_getLsbD,0,UNKNOWN,29,11179,1
BitVec.toFin_sshiftRight_of_msb_true,0,UNKNOWN,29,11126,0
BitVec.zero_ushiftRight,0,UNKNOWN,14,11178,0
BitVec.zero_eq_one_iff,0,UNKNOWN,20,10312,0
BitVec.add_sub_cancel,0,UNKNOWN,18,11077,0
BitVec.mul_sub,0,UNKNOWN,15,11076,0
BitVec.toFin_sshiftRight'_of_msb_false,0,UNKNOWN,30,11126,1
BitVec.toNat_ofNatLt,0,UNSAT,15,53,0
BitVec.intMin_eq_zero_iff,0,UNKNOWN,17,11127,0
BitVec.getLsbD_shiftLeft,0,UNKNOWN,23,11078,0
BitVec.ule_iff_le,0,UNSAT,13,52,0
BitVec.sle_iff_toInt_le,0,UNSAT,19,103,0
BitVec.getElem?_setWidth,0,UNKNOWN,46,11081,1
BitVec.getLsbD_abs,0,UNSAT,25,104,0
BitVec.getElem_sshiftRight,0,UNKNOWN,34,11175,0
BitVec.toNat_signExtend,0,UNKNOWN,30,11073,0
BitVec.toInt_allOnes,0,UNKNOWN,18,11124,0
BitVec.lt_intMin_iff_msb_eq_false,0,UNKNOWN,23,11127,0
BitVec.setWidth_setWidth_succ_eq_setWidth_setWidth_of_getLsbD_false,0,UNKNOWN,31,11075,0
BitVec.getMsbD_cons_succ,0,UNKNOWN,26,11177,0
BitVec.toInt_sub_toInt_lt_twoPow_iff,0,UNKNOWN,23,11080,1
BitVec.getElem_ofBool,0,UNSAT,25,53,0
BitVec.neg_eq_intMin,0,UNKNOWN,17,11137,0
BitVec.not_le,0,UNKNOWN,14,11068,1
BitVec.ule_eq_decide,0,UNSAT,14,52,0
BitVec.msb_signExtend,0,UNKNOWN,31,11070,0
BitVec.rotateLeft_eq_rotateLeftAux_of_lt,0,UNKNOWN,22,11222,1
BitVec.toInt_extractLsb,0,UNKNOWN,26,11120,1
BitVec.sub_eq_iff_eq_add,0,UNKNOWN,15,11071,1
BitVec.setWidth_shiftLeft_of_le,0,UNKNOWN,15,11079,1
BitVec.xor_assoc,0,UNKNOWN,18,11175,0
BitVec.replicate_one,0,UNSAT,21,52,1
BitVec.clzAuxRec_succ,0,UNSAT,36,203,1
BitVec.instAssociativeHXor,0,UNKNOWN,28,3617,0
BitVec.getMsb'_eq_getLsb',0,UNSAT,31,53,0
BitVec.sub_toNat_mod_cancel,0,UNKNOWN,19,11080,0
BitVec.toFin_rotateRight,0,UNKNOWN,20,11121,0
BitVec.neg_inj,0,UNKNOWN,14,11077,0
BitVec.getLsbD_rotateRightAux_of_ge,0,UNKNOWN,26,11079,0
BitVec.getElem?_zero_ofBool,0,UNSAT,22,53,0
BitVec.toInt_sshiftRight,0,UNKNOWN,21,11122,1
BitVec.toInt_eq_toNat_bmod,0,UNKNOWN,28,11074,0
BitVec.ult_iff_lt,0,UNSAT,18,102,1
BitVec.getMsbD_extractLsb',0,UNKNOWN,32,11071,0
BitVec.getLsbD_append,0,UNKNOWN,29,11175,1
BitVec.zero_sshiftRight,0,UNKNOWN,22,11078,0
BitVec.slt_eq_sle_and_ne,0,UNKNOWN,22,11072,1
BitVec.msb_intMin,0,UNKNOWN,27,11173,0
BitVec.msb_eq_getMsbD_zero,0,UNSAT,28,53,0
BitVec.getElem_eq_extractLsb',0,UNKNOWN,22,11162,0
BitVec.getLsbD_setWidth',0,UNKNOWN,26,11081,1
BitVec.none_eq_getElem?_iff,0,UNKNOWN,25,11076,1
BitVec.instAssociativeHMul,0,UNKNOWN,20,7011,0
BitVec.zero_sdiv,0,UNKNOWN,33,11123,0
BitVec.getLsbD_true_of_eq_clzAuxRec_of_ne_zero,0,UNKNOWN,25,11077,1
BitVec.toInt_neg_eq_ite,0,UNKNOWN,20,11130,0
BitVec.shiftLeft_zero',0,UNKNOWN,14,11075,1
BitVec.extractLsb'_append_eq_of_le,0,UNKNOWN,20,11124,0
BitVec.getMsbD_rotateRightAux_of_lt,0,UNKNOWN,24,11125,1
BitVec.getElem_rotateLeft,0,UNKNOWN,26,11125,1
BitVec.getElem_cast,0,UNSAT,21,8569,0
BitVec.sub_sub_toNat_cancel,0,UNKNOWN,16,11079,0
BitVec.srem_zero,0,UNKNOWN,26,11127,1
BitVec.getMsbD_setWidth',0,UNKNOWN,26,11068,0
BitVec.shiftLeft_zero,0,UNKNOWN,15,11076,1
BitVec.and_allOnes,0,UNKNOWN,17,11174,1
BitVec.toNat_udiv,0,UNSAT,19,53,0
BitVec.toInt_neg_of_msb_true,0,UNKNOWN,29,11125,0
BitVec.ofNat_finVal,0,UNKNOWN,15,11078,0
BitVec.getLsbD_xor,0,ERR_NUNCHAKU,25,53,0
BitVec.getElem_eq_getElem?,0,UNSAT,22,52,0
BitVec.clzAuxRec_eq_clzAuxRec_of_le,0,UNKNOWN,23,11130,1
BitVec.intMax_add_one,0,UNKNOWN,20,11126,0
BitVec.toInt_sub_of_not_ssubOverflow,0,UNKNOWN,31,11120,1
BitVec.setWidth_succ,0,UNKNOWN,26,11118,1
BitVec.toInt_zero_append,0,UNKNOWN,23,11078,0
BitVec.getMsbD_ofNatLT,0,UNKNOWN,21,11078,0
BitVec.concat_or_concat,0,UNKNOWN,21,11129,0
BitVec.toInt_not,0,UNKNOWN,28,11121,0
BitVec.getLsbD_not,0,ERR_NUNCHAKU,25,53,0
BitVec.toFin_rotateLeft,0,UNKNOWN,22,11177,1
BitVec.sshiftRight_eq_of_msb_false,0,UNKNOWN,29,11133,0
BitVec.neg_sub,0,UNKNOWN,16,11076,0
BitVec.ofInt_ofNat,0,UNSAT,15,153,0
BitVec.getMsbD_xor,0,ERR_NUNCHAKU,26,53,0
BitVec.instLawfulCommIdentityHXorOfNatOfNatNat,0,UNKNOWN,34,3207,0
BitVec.setWidth_ushiftRight,0,UNKNOWN,23,11076,0
BitVec.toInt_shiftLeft,0,UNKNOWN,30,11124,1
BitVec.getLsbD_zero,0,UNKNOWN,20,11177,0
BitVec.two_pow_sub_clz_le_toNat_of_ne_zero,0,UNKNOWN,23,11125,1
BitVec.getElem?_eq_none,0,UNKNOWN,22,11075,0
