theorem,mutant,result,encoding,nunchaku,recovery
Fin.ne_of_lt,0,SAT,12,55,0
Fin.ne_of_lt,1,SAT,17,54,0
Fin.ne_of_lt,2,SAT,12,654,1
Fin.mod_def,0,SAT,32,55,0
Fin.mod_def,1,SAT,28,56,0
Fin.lt_or_lt_of_ne,0,SAT,23,56,0
Fin.lt_or_lt_of_ne,1,SAT,17,57,0
Fin.lt_or_lt_of_ne,2,SAT,26,55,0
Fin.lt_or_lt_of_ne,3,SAT,33,108,0
Fin.lt_or_lt_of_ne,4,SAT,57,110,0
Fin.mul_def,0,SAT,55,115,0
Fin.mul_def,1,SAT,56,2392,0
Fin.fin_two_eq_of_eq_zero_iff,0,SAT,26,255,1
Fin.fin_two_eq_of_eq_zero_iff,1,UNSAT,38,57,0
Fin.fin_two_eq_of_eq_zero_iff,2,UNSAT,37,1217,0
Fin.not_le,0,SAT,30,59,0
Fin.not_le,1,SAT,20,55,0
Fin.not_le,2,SAT,21,105,1
Fin.not_le,3,SAT,34,57,0
Fin.ge_of_eq,0,SAT,23,313,1
Fin.ge_of_eq,1,UNSAT,38,110,0
Fin.ge_of_eq,2,UNSAT,37,1062,0
Fin.succ_lt_succ_iff,0,SAT,19,54,1
Fin.succ_lt_succ_iff,1,SAT,16,656,1
Fin.succ_lt_succ_iff,2,SAT,18,54,0
Fin.succ_lt_succ_iff,3,SAT,25,55,0
Fin.castAdd_lt,0,SAT,32,959,0
Fin.forall_fin_two,0,SAT,21,55,0
Fin.add_one_lt_iff,0,SAT,20,355,0
Fin.add_one_lt_iff,1,SAT,26,56,0
Fin.succ_eq_last_succ,0,SAT,20,856,0
Fin.coe_sub_iff_le,0,SAT,47,111,0
Fin.coe_sub_iff_le,1,SAT,51,109,1
Fin.coe_sub_iff_le,2,SAT,33,56,0
Fin.castSucc_pos,0,SAT,39,415,1
Fin.castSucc_pos,1,SAT,61,116,0
Fin.zero_eq_mk,0,SAT,66,519,0
Fin.ext_iff,0,SAT,58,113,0
Fin.ext_iff,1,SAT,39,163,0
Fin.ext_iff,2,SAT,115,172,0
Fin.dite_val,0,SAT,46,110,0
Fin.dite_val,1,SAT,48,515,0
Fin.one_lt_succ_succ,0,SAT,104,217,0
Fin.val_eq_zero_iff,0,SAT,128,160,0
Fin.div_val,0,SAT,39,108,0
Fin.div_val,1,SAT,48,1667,0
Fin.mk.inj_iff,0,SAT,15,55,0
Fin.castSucc_lt_iff_succ_le,0,SAT,20,54,0
