theorem,mutant,result,encoding,nunchaku,recovery
Fin.pred_mk_succ',0,UNSAT,32,954,1
Fin.ne_of_lt,0,UNKNOWN,18,11078,0
Fin.mod_def,0,UNSAT,17,103,0
Fin.lt_or_lt_of_ne,0,UNKNOWN,9,11075,0
Fin.pred_mk,0,UNSAT,19,52,0
Fin.mul_def,0,UNSAT,16,102,0
Fin.mk_zero,0,UNSAT,12,954,0
Fin.coe_cast,0,UNSAT,17,654,0
Fin.fin_two_eq_of_eq_zero_iff,0,UNSAT,15,53,0
Fin.not_le,0,UNKNOWN,13,11064,0
Fin.ge_of_eq,0,UNSAT,21,52,0
Fin.rev_last,0,UNKNOWN,12,10276,0
Fin.succ_lt_succ_iff,0,UNKNOWN,15,11079,0
Fin.castAdd_lt,0,UNSAT,18,103,0
Fin.forall_fin_two,0,UNKNOWN,11,10273,0
Fin.mk_le_of_le_val,0,UNKNOWN,15,11077,0
Fin.mk_one,0,UNSAT,11,52,0
Fin.add_one_lt_iff,0,UNKNOWN,16,11077,0
Fin.castLE_zero,0,UNSAT,11,503,0
Fin.succ_eq_last_succ,0,UNSAT,14,52,0
Fin.val_two,0,UNSAT,13,52,1
Fin.coe_castAdd,0,UNSAT,21,54,0
Fin.coe_sub_iff_le,0,UNKNOWN,30,11094,1
Fin.le_last,0,UNKNOWN,16,11073,0
Fin.castSucc_pos,0,UNSAT,22,403,0
Fin.mul_zero,0,UNSAT,23,53,0
Fin.cast_natAdd_left,0,UNKNOWN,33,11081,0
Fin.zero_eq_mk,0,UNSAT,20,53,0
Fin.zero_le,0,UNKNOWN,17,10324,0
Fin.ext_iff,0,UNSAT,11,53,0
Fin.addNat_one,0,UNSAT,14,53,0
Fin.val_last,0,UNSAT,4,54,0
Fin.natAdd_mk,0,UNSAT,15,1255,0
Fin.instCommutativeHMul,0,UNKNOWN,17,11073,0
Fin.dite_val,0,UNSAT,12,453,0
Fin.val_rev,0,UNSAT,11,52,0
Fin.coe_addNat,0,UNSAT,15,52,0
Fin.castAdd_natAdd,0,UNSAT,11,1155,0
Fin.one_lt_succ_succ,0,UNKNOWN,17,10275,1
Fin.val_eq_zero_iff,0,UNSAT,24,53,0
Fin.div_val,0,UNSAT,14,203,0
Fin.add_zero,0,UNKNOWN,36,11077,0
Fin.mk.inj_iff,0,UNSAT,18,54,0
Fin.castSucc_lt_iff_succ_le,0,UNSAT,11,953,0
Fin.val_ne_zero_iff,0,UNSAT,39,1109,0
Fin.lastCases_last,0,ERR_ENCODING,2,0,0
Fin.castSucc_lt_last,0,UNSAT,30,354,0
Fin.rev_succ,0,UNKNOWN,40,10323,0
Fin.rev_eq,0,UNKNOWN,16,11078,0
Fin.lt_add_one_iff,0,UNKNOWN,23,11076,1
Fin.succ_inj,0,UNSAT,16,102,0
Fin.val_ne_iff,0,UNSAT,14,52,0
Fin.pred_le_pred_iff,0,UNKNOWN,15,11074,1
Fin.natAdd_last,0,UNSAT,4,105,0
Fin.ofNat_add,0,UNKNOWN,20,11072,0
Fin.natAdd_natAdd,0,UNKNOWN,19,10225,1
Fin.castLE_refl,0,UNSAT,19,53,0
Fin.intCast_def,0,UNSAT,27,53,0
Fin.castLE_succ,0,UNSAT,14,53,1
Fin.le_zero_iff,0,UNSAT,27,54,0
Fin.val_succ,0,UNSAT,26,105,0
Fin.succ_ne_zero,0,UNSAT,43,1317,0
Fin.forall_fin_one,0,UNSAT,23,6465,1
Fin.lt_or_le,0,UNKNOWN,19,11079,1
Fin.cast_castAdd_left,0,UNSAT,19,102,0
Fin.succRecOn_succ,0,ERR_ENCODING,1,0,0
Fin.pos_iff_ne_zero,0,UNKNOWN,14,10218,0
Fin.forall_fin_succ,0,UNKNOWN,16,11074,0
Fin.coe_mul,0,UNSAT,20,203,0
Fin.val_mk,0,UNSAT,10,52,0
Fin.pred_mk_succ,0,UNSAT,17,753,0
Fin.ne_of_gt,0,UNKNOWN,26,11077,0
Fin.one_mul,0,UNKNOWN,16,11080,0
Fin.subsingleton_iff_le_one,0,UNKNOWN,13,11078,0
Fin.val_ofNat,0,UNSAT,16,53,0
Fin.last_zero,0,UNSAT,16,53,0
Fin.mul_comm,0,UNKNOWN,12,11082,0
Fin.val_add_one_of_lt,0,UNKNOWN,16,11080,0
Fin.coe_pred,0,UNSAT,13,53,0
Fin.castSucc_inj,0,UNSAT,15,153,0
Fin.cast_last,0,UNSAT,2,103,0
Fin.natAdd_castSucc,0,UNSAT,26,54,1
Fin.cast_refl,0,UNSAT,33,58,0
Fin.castAdd_castLT,0,UNSAT,39,107,0
Fin.castSucc_eq_zero_iff,0,UNSAT,71,158,0
Fin.lt_succ,0,UNSAT,47,57,0
Fin.cast_natAdd,0,UNKNOWN,38,11091,0
Fin.natAdd_subNat_cast,0,UNKNOWN,11,11077,0
Fin.natAdd_castAdd,0,UNSAT,13,52,0
Fin.eq_mk_iff_val_eq,0,UNSAT,15,53,0
