theorem,mutant,result,encoding,nunchaku,recovery
List.getElem?_toArray,0,UNKNOWN,17,11077,0
Array.mem_toArray,0,UNKNOWN,14,11080,0
Array.size_eq_length_toList,0,UNSAT,5,454,1
Array.forIn'_eq_forIn',0,ERR_ENCODING,1,0,0
Array.size_set,0,UNKNOWN,12,11073,0
Array.getElem_mem,0,UNKNOWN,31,11078,1
Array.size_push,0,UNKNOWN,5,10228,0
Array.popWhile_empty,0,UNSAT,21,803,0
Array.take_eq_extract,0,UNSAT,30,53,0
Array.mem_def,0,UNKNOWN,36,11072,0
List.toList_toArray,0,UNSAT,6,53,1
Array.ext',0,UNSAT,5,53,0
Array.size_pop,0,UNKNOWN,12,10268,1
Array.Mem.val,0,UNKNOWN,25,11082,0
Array.getElem?_toList,0,UNKNOWN,21,11072,0
Array.reverse.termination,0,UNKNOWN,11,11081,0
Array.mkEmpty_eq,0,UNSAT,6,404,0
Array.forM_eq_forM,0,ERR_ENCODING,1,0,0
Array.toArray_toList,0,UNSAT,4,52,0
Array.ext,0,UNKNOWN,15,11072,0
List.getElem_toArray,0,UNSAT,12,102,0
Array.getElem_toList,0,UNSAT,11,52,0
Array.drop_eq_extract,0,UNSAT,20,52,1
List.getElem!_toArray,0,ERR_ENCODING,15,0,0
Array.size_swap,0,UNKNOWN,14,11084,1
Array.size_eraseIdx,0,UNKNOWN,25,11071,1
Array.emptyWithCapacity_eq,0,UNSAT,6,53,0
List.size_toArray,0,UNSAT,7,53,0
Array.findIdx?_eq_map_findFinIdx?_val,0,UNKNOWN,18,11080,1
List.mem_toArray,0,UNKNOWN,16,11075,0
Array.toArrayAux_eq,0,UNKNOWN,6,11077,1
