theorem,mutant,result,encoding,nunchaku,recovery
Nat.sub_lt_iff_lt_add,0,UNKNOWN,10,11073,0
Nat.one_lt_iff_ne_zero_and_ne_one,0,UNKNOWN,17,10222,0
Nat.shiftLeft_succ,0,UNKNOWN,4,10273,0
Nat.mul_self_sub_mul_self_eq,0,UNKNOWN,6,11079,0
Nat.one_mod_two_pow_eq_one,0,UNKNOWN,11,10676,0
Nat.pow_add_one',0,UNKNOWN,2,11077,0
Nat.sub_max_sub_left,0,UNKNOWN,15,7819,1
Nat.mul_dvd_of_dvd_div,0,UNKNOWN,11,11069,0
Nat.le_and_le_add_one_iff,0,UNKNOWN,9,11077,0
Nat.le_mul_of_pos_left,0,UNKNOWN,10,11075,0
Nat.exists_eq_add_of_lt,0,UNKNOWN,17,11075,0
Nat.succ_max_succ,0,UNKNOWN,13,8271,0
Nat.zero_shiftLeft,0,UNKNOWN,4,10322,0
Nat.succ_add_sub_one,0,UNKNOWN,3,10275,0
Nat.instAssociativeMax,0,UNKNOWN,16,7066,0
Nat.add_lt_add_of_le_of_lt,0,UNKNOWN,18,11076,0
Nat.forall_lt_succ_left',0,UNKNOWN,10,11069,0
Nat.add_succ_sub_one,0,UNSAT,3,53,0
Nat.dvd_iff_dvd_dvd,0,UNKNOWN,4,11076,0
Nat.pred_one_add,0,UNKNOWN,3,10277,0
Nat.min_self_assoc',0,UNKNOWN,19,7214,0
Nat.add_eq_two_iff,0,UNSAT,3,54,0
Nat.eq_of_dvd_of_div_eq_one,0,UNKNOWN,16,11075,0
Nat.one_mod_eq_one,0,UNSAT,11,53,0
Nat.lt_two_pow_self,0,UNKNOWN,17,11076,0
Nat.mul_dvd_mul_iff_right,0,UNKNOWN,18,11072,0
Nat.succ_mul_succ,0,UNKNOWN,4,11074,0
Nat.div_ne_zero_iff,0,UNKNOWN,10,11079,0
Nat.div_add_mod',0,UNKNOWN,14,11074,0
Nat.div_eq_zero_iff,0,UNKNOWN,17,11076,1
Nat.mul_mod_mul_right,0,UNKNOWN,17,11078,0
Nat.pow_mul',0,UNKNOWN,2,11072,0
Nat.one_lt_pow',0,UNKNOWN,14,11074,1
Nat.add_pos_iff_pos_or_pos,0,UNKNOWN,9,11076,0
Nat.mul_add_div,0,UNKNOWN,12,11074,0
Nat.mul_mul_mul_comm,0,UNKNOWN,2,11077,0
Nat.div_left_inj,0,UNKNOWN,13,11079,0
Nat.add_eq_min_iff,0,UNKNOWN,18,11078,1
Nat.sub_add_eq_max,0,UNKNOWN,12,11077,1
Nat.eq_zero_of_le_div,0,UNKNOWN,15,11083,0
Nat.succ_sub_one,0,UNSAT,2,52,0
Nat.div_eq_self,0,UNKNOWN,16,11073,1
Nat.pow_pred_lt_pow,0,UNKNOWN,9,11131,0
Nat.mod_mod,0,UNKNOWN,10,11076,0
Nat.mul_mod_mod,0,UNKNOWN,11,11073,1
Nat.add_pos_left,0,UNKNOWN,17,11067,0
Nat.add_eq_left,0,UNKNOWN,3,11076,0
Nat.eq_mul_of_div_eq_left,0,UNKNOWN,11,11066,0
Nat.pred_min_pred,0,UNKNOWN,35,7019,0
Nat.pow_add',0,UNKNOWN,5,11073,0
Nat.div_lt_div_left,0,UNKNOWN,14,11064,0
Nat.succ_min_succ,0,UNKNOWN,13,7618,0
Nat.dvd_div_iff_mul_dvd,0,UNKNOWN,17,11071,0
Nat.eq_of_dvd_of_lt_two_mul,0,UNKNOWN,19,11078,0
Nat.mod_two_eq_zero_or_one,0,UNKNOWN,10,11073,0
Nat.eq_zero_of_dvd_of_div_eq_zero,0,UNKNOWN,10,11077,0
Nat.add_le_mul,0,UNKNOWN,10,11075,0
Nat.sub_sub_self,0,UNKNOWN,16,11078,0
Nat.one_sub,0,UNKNOWN,4,10323,0
Nat.dvd_add_right,0,UNKNOWN,2,11076,0
Nat.mod_eq_iff,0,UNKNOWN,13,11071,0
Nat.sub_lt_iff_lt_add',0,UNKNOWN,9,11071,0
Nat.div_le_iff_le_mul_of_dvd,0,UNKNOWN,14,11079,1
Nat.le_succ_iff,0,UNKNOWN,9,11079,0
Nat.div_pos_iff,0,UNKNOWN,12,11030,0
Nat.exists_eq_add_of_le',0,UNKNOWN,8,11068,0
Nat.le_of_pred_lt,0,UNKNOWN,17,11077,0
Nat.min_max_distrib_left,0,UNKNOWN,13,7317,1
Nat.sub_mul_div,0,UNKNOWN,18,11077,1
Nat.log2_two_mul,0,ERR_ENCODING,1,0,0
Nat.sub_lt_succ,0,UNKNOWN,8,11079,1
Nat.add_lt_iff_lt_sub_right,0,UNKNOWN,15,11074,0
Nat.min_max_distrib_right,0,UNKNOWN,13,7163,0
Nat.pow_pred_mul,0,UNSAT,15,102,0
Nat.pred_eq_succ_iff,0,UNSAT,2,52,0
Nat.mul_left_cancel,0,UNKNOWN,11,11079,0
Nat.pow_right_comm,0,UNKNOWN,4,11074,0
Nat.div_mod_unique,0,UNKNOWN,13,11079,0
Nat.mul_le_of_le_div,0,UNKNOWN,10,11080,0
Nat.add_sub_cancel',0,UNKNOWN,10,11071,0
Nat.div_dvd_of_dvd,0,UNKNOWN,21,11070,0
Nat.max_min_distrib_left,0,UNKNOWN,17,7669,1
Nat.pred_max_pred,0,UNKNOWN,17,8220,0
Nat.mul_pos_iff_of_pos_right,0,UNKNOWN,16,11080,1
Nat.add_mod,0,UNKNOWN,10,11074,0
Nat.mul_ne_zero_iff,0,UNKNOWN,4,10372,0
Nat.pow_le_one_iff,0,UNKNOWN,18,11076,1
Nat.lt_of_add_lt_add_left,0,UNKNOWN,21,11076,0
Nat.add_sub_sub_cancel,0,UNKNOWN,11,11073,0
Nat.div_lt_div_right,0,UNKNOWN,19,11074,0
Nat.add_right_cancel_iff,0,UNKNOWN,2,11074,0
Nat.eq_one_of_mul_eq_one_right,0,UNKNOWN,2,10370,0
Nat.mul_self_lt_mul_self,0,UNKNOWN,17,11073,0
Nat.add_succ_lt_add,0,UNKNOWN,17,11074,1
