theorem,mutant,result,encoding,nunchaku,recovery
Int.neg_inj,0,UNSAT,3,152,1
Int.negOfNat_add,0,UNKNOWN,7,10269,0
Int.instAssociativeHAdd,0,SAT,15,1307,0
Int.mul_ne_zero,0,UNSAT,6,53,0
Int.negSucc_eq,0,UNSAT,11,52,0
Int.sub_mul,0,UNKNOWN,9,11076,0
Int.add_def,0,UNSAT,5,52,0
Int.neg_ofNat_zero,0,UNSAT,6,54,0
Int.neg_ofNat_succ,0,UNSAT,3,52,0
Int.mul_zero,0,UNSAT,3,905,0
Int.mul_neg,0,UNSAT,8,3110,1
Int.sub_eq_iff_eq_add',0,UNKNOWN,11,11076,1
Int.negSucc_sub_one,0,UNSAT,12,53,1
Int.neg_mul,0,UNKNOWN,8,11075,1
Int.cast_ofNat_Int,0,UNSAT,5,52,0
Int.neg_add_cancel_right,0,UNKNOWN,12,11077,1
Int.negOfNat_eq_subNatNat_zero,0,UNSAT,4,53,0
Int.neg_mul_neg,0,UNKNOWN,8,11066,1
Int.add_right_comm,0,UNKNOWN,6,11075,1
Int.subNatNat_of_lt,0,UNKNOWN,13,11076,0
Int.zero_add,0,UNKNOWN,5,10272,0
Int.negSucc_mul_negSucc,0,UNSAT,9,53,0
Int.mul_eq_zero,0,UNKNOWN,4,10224,0
Int.add_zero,0,UNSAT,6,1004,0
Int.add_neg_cancel_right,0,UNKNOWN,11,11080,1
Int.sub_zero,0,UNSAT,6,52,1
Int.neg_ofNat_eq_negSucc_add_one_iff,0,UNSAT,11,504,0
Int.add_neg_cancel_left,0,UNKNOWN,17,11081,0
Int.subNatNat_elim,0,UNKNOWN,10,11077,0
Int.natCast_one,0,UNSAT,7,54,0
Int.mul_comm,0,UNKNOWN,6,11075,0
Int.sub_sub,0,UNKNOWN,15,11078,1
Int.negSucc_mul_ofNat,0,UNSAT,8,53,0
Int.eq_one_of_mul_eq_self_left,0,UNKNOWN,6,11070,0
Int.subNatNat_sub,0,UNKNOWN,15,11079,0
Int.negSucc_add_negSucc,0,UNSAT,10,904,1
Int.add_sub_cancel,0,UNKNOWN,6,11077,0
Int.subNatNat_self,0,UNKNOWN,4,10222,0
Int.eq_neg_of_eq_neg,0,UNSAT,8,104,0
Int.ofNat_add_ofNat,0,UNSAT,6,53,0
Int.neg_ofNat_eq_negSucc_iff,0,UNSAT,4,103,0
Int.negSucc_inj,0,UNSAT,3,54,0
Int.instLawfulIdentityHMulOfNat,0,UNKNOWN,31,10285,0
Int.toNat_of_nonpos,0,UNSAT,11,53,0
Int.neg_ne_zero,0,UNSAT,4,53,0
Int.ofNat_ne_zero,0,UNSAT,3,53,0
Int.add_left_neg,0,UNKNOWN,13,11091,0
Int.ofNat_succ,0,UNSAT,7,52,0
Int.subNatNat_add_negSucc,0,UNKNOWN,9,11079,0
Int.subNatNat_of_sub_eq_zero,0,UNSAT,7,102,0
Int.negSucc_coe',0,UNSAT,6,52,0
Int.neg_add_cancel_left,0,UNKNOWN,5,11078,1
Int.natCast_add_one,0,UNSAT,5,52,1
Int.subNatNat_of_sub_eq_succ,0,UNSAT,7,52,1
Int.eq_of_sub_eq_zero,0,UNKNOWN,6,11075,0
Int.subNatNat_add_add,0,UNKNOWN,8,11078,0
Int.mul_eq_mul_right_iff,0,UNKNOWN,5,11076,0
Int.negSucc_add_one_eq_neg_ofNat_iff,0,UNSAT,7,453,1
Int.negSucc_coe,0,UNSAT,6,54,0
Int.negOfNat_mul_ofNat,0,UNKNOWN,6,11072,1
Int.instNeZeroHMul,0,UNSAT,10,753,0
Int.sub_eq_zero_of_eq,0,UNKNOWN,6,11078,1
Int.neg_zero,0,UNSAT,7,52,0
Int.sub_self,0,UNKNOWN,12,11075,0
Int.neg_one_mul,0,UNKNOWN,8,10227,0
Int.zero_mul,0,UNKNOWN,7,10273,0
Int.add_mul,0,UNKNOWN,13,11080,0
Int.ofNat_mul_ofNat,0,UNSAT,8,53,0
Int.add_right_inj,0,UNKNOWN,9,11075,0
Int.add_comm,0,UNKNOWN,11,11080,0
Int.zero_sub,0,UNKNOWN,15,10219,0
