theorem,mutant,result,encoding,nunchaku,recovery
Std.TreeMap.contains_unitOfList,0,ERR_ENCODING,10,0,0
Std.TreeMap.contains_unitOfList,1,ERR_ENCODING,9,0,0
Std.TreeMap.getElem?_ofList_of_mem,0,ERR_ENCODING,33,0,0
Std.TreeMap.getElem?_ofList_of_mem,1,ERR_ENCODING,33,0,0
Std.TreeMap.getElem?_ofList_of_mem,2,ERR_ENCODING,22,0,0
Std.TreeMap.getElem?_ofList_of_mem,3,ERR_ENCODING,33,0,0
Std.TreeMap.getElem?_ofList_of_mem,4,ERR_ENCODING,32,0,0
Std.TreeMap.Equiv.getEntryGT!_eq,0,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.getEntryGT!_eq,1,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.getEntryGT!_eq,2,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.getEntryGT!_eq,3,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,0,ERR_ENCODING,29,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,1,ERR_ENCODING,31,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,2,ERR_ENCODING,21,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,3,ERR_ENCODING,34,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,4,ERR_ENCODING,35,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,5,ERR_ENCODING,34,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,6,ERR_ENCODING,35,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,7,ERR_ENCODING,36,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,8,ERR_ENCODING,37,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,9,ERR_ENCODING,38,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,0,ERR_ENCODING,3,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,1,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,2,ERR_ENCODING,3,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,3,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,4,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,5,ERR_ENCODING,3,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,6,ERR_ENCODING,3,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,7,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,8,ERR_ENCODING,3,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,9,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,10,ERR_ENCODING,3,0,0
Std.TreeMap.getElem?_map,0,ERR_ENCODING,2,0,0
Std.TreeMap.getElem?_map,1,ERR_ENCODING,2,0,0
Std.TreeMap.getKey?_eq_some_getKeyD_of_contains,0,ERR_ENCODING,2,0,0
Std.TreeMap.getKey?_eq_some_getKeyD_of_contains,1,ERR_ENCODING,1,0,0
Std.TreeMap.getKey?_eq_some_getKeyD_of_contains,2,ERR_ENCODING,2,0,0
Std.TreeMap.getKey?_eq_some_getKeyD_of_contains,3,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.getKeyGE?_eq,0,ERR_ENCODING,2,0,0
