theorem,mutant,result,encoding,nunchaku,recovery
List.set_append_right,0,SAT,5,54,0
List.set_append_right,1,SAT,14,55,0
List.set_append_right,2,SAT,14,54,0
List.isSome_head?,0,SAT,3,53,1
List.replicateRecOn,0,UNKNOWN,27,11090,0
List.replicateRecOn,1,ERR_NUNCHAKU,19,53,0
List.replicateRecOn,2,UNKNOWN,14,11064,1
List.eq_nil_or_concat,0,SAT,7,106,0
List.set_eq_of_length_le,0,SAT,3,54,0
List.reverse_ne_nil_iff,0,SAT,2,54,0
List.filter_eq_cons_iff,0,SAT,45,106,0
List.filter_eq_cons_iff,1,SAT,32,106,0
List.filter_eq_cons_iff,2,SAT,67,164,0
List.replicate_beq_replicate,0,SAT,35,5176,0
List.replicate_beq_replicate,1,SAT,13,55,0
List.any_filter,0,SAT,8,106,0
List.any_filter,1,SAT,9,107,1
List.mem_of_ne_of_mem,0,SAT,43,1532,0
List.mem_of_ne_of_mem,1,SAT,50,109,1
List.mem_of_ne_of_mem,2,SAT,47,160,0
List.mem_of_mem_head?,0,SAT,45,57,0
List.ext_getElem?,0,SAT,5,59,0
List.ext_getElem?,1,UNSAT,52,113,0
List.ext_getElem?,2,UNSAT,39,111,0
List.eq_of_mem_replicate,0,SAT,4,112,0
List.eq_of_mem_replicate,1,UNSAT,66,109,0
List.eq_of_mem_replicate,2,UNSAT,66,963,0
List.append_eq_filter_iff,0,SAT,19,961,0
List.append_eq_filter_iff,1,SAT,11,407,0
List.append_eq_filter_iff,2,SAT,22,663,0
List.append_eq_filter_iff,3,SAT,26,112,0
List.append_eq_filter_iff,4,SAT,20,625,0
List.append_eq_filter_iff,5,SAT,27,1177,0
List.append_eq_filter_iff,6,SAT,44,1318,4
List.getElem?_reverse,0,SAT,73,235,4
List.forall_mem_flatten,0,SAT,79,116,1
List.tail_append,0,SAT,27,2277,0
List.tail_append,1,SAT,15,110,1
List.foldl_flip_cons_eq_append',0,SAT,20,112,0
List.foldl_flip_cons_eq_append',1,SAT,20,111,0
List.getElem_eq_iff,0,SAT,80,162,0
List.isEmpty_iff_length_eq_zero,0,SAT,13,170,1
List.flatten_ne_nil_iff,0,SAT,68,167,0
List.map_eq_cons_iff',0,SAT,34,113,1
List.singleton_eq_append_iff,0,SAT,13,117,3
List.singleton_eq_append_iff,1,SAT,12,115,1
List.singleton_eq_append_iff,2,SAT,13,113,0
List.singleton_eq_append_iff,3,SAT,10,261,0
List.replace_take,0,SAT,38,3379,0
List.replace_take,1,SAT,32,113,0
List.foldr_append,0,SAT,19,114,1
List.foldr_append,1,SAT,19,113,0
List.flatten_eq_nil_iff,0,SAT,120,1872,1
List.forall_getElem,0,SAT,58,107,1
List.flatten_replicate_replicate,0,SAT,12,1407,0
List.flatten_replicate_replicate,1,SAT,10,55,0
List.any_beq',0,SAT,6,54,0
List.forall_mem_ne',0,SAT,15,54,0
List.filterMap_eq_nil_iff,0,SAT,23,54,1
List.exists_of_mem_flatMap,0,SAT,39,1159,0
List.append_inj_left',0,SAT,6,55,0
List.append_inj_left',1,SAT,5,705,0
List.append_inj_left',2,SAT,9,55,0
List.append_inj_left',3,UNSAT,5,54,0
List.append_inj_left',4,SAT,5,55,0
List.append_inj_left',5,SAT,6,106,0
List.append_inj_left',6,UNSAT,7,57,0
List.append_inj_left',7,SAT,8,106,1
List.append_inj_right',0,SAT,11,1166,0
List.append_inj_right',1,SAT,4,55,0
List.append_inj_right',2,SAT,6,54,0
List.append_inj_right',3,SAT,6,54,1
List.append_inj_right',4,UNSAT,10,56,0
List.append_inj_right',5,SAT,10,109,0
List.append_inj_right',6,UNSAT,12,57,0
List.append_inj_right',7,SAT,13,107,0
List.singleton_eq_flatten_iff,0,SAT,67,109,0
List.eq_replicate_of_mem,0,SAT,13,1470,1
List.exists_of_mem_flatten,0,UNKNOWN,24,7465,0
List.getElem?_reverse',0,SAT,12,54,0
List.getElem?_reverse',1,SAT,13,762,1
List.getElem?_reverse',2,SAT,38,58,0
List.some_eq_getElem?_iff,0,SAT,35,1107,0
List.filter_eq_nil_iff,0,SAT,32,55,0
List.contains_iff_exists_mem_beq,0,SAT,34,55,0
List.removeAll_cons,0,UNKNOWN,14,11079,0
List.removeAll_cons,1,UNKNOWN,19,11068,0
List.all_congr,0,UNKNOWN,6,11068,0
List.all_congr,1,SAT,4,107,0
List.all_congr,2,UNSAT,11,108,0
List.all_congr,3,UNSAT,7,55,0
List.all_congr,4,UNSAT,6,56,0
List.all_congr,5,UNSAT,10,108,0
List.map_eq_nil_iff,0,SAT,15,109,0
List.ne_nil_of_length_pos,0,SAT,6,109,0
List.map_append,0,SAT,19,1615,0
List.map_append,1,SAT,7,56,0
List.lawfulBEq_iff,0,SAT,27,213,0
List.getElem?_replicate,0,SAT,51,3925,0
List.getElem?_replicate,1,SAT,56,108,1
List.foldl_rel,0,SAT,52,108,0
List.foldl_rel,1,SAT,9,109,1
List.eq_of_mem_singleton,0,SAT,3,109,0
List.eq_of_mem_singleton,1,UNSAT,38,108,0
List.eq_of_mem_singleton,2,UNSAT,47,109,0
List.ext_getElem?_iff,0,SAT,35,112,1
List.ext_getElem?_iff,1,SAT,42,3430,0
List.ext_getElem?_iff,2,SAT,15,56,0
List.filter_cons_of_pos,0,SAT,8,55,1
List.getElem?_replace,0,SAT,52,105,1
List.getElem?_replace,1,SAT,54,106,0
List.ne_nil_iff_exists_cons,0,SAT,3,1415,0
List.insert_append_of_not_mem_left,0,SAT,98,117,0
List.insert_append_of_not_mem_left,1,SAT,66,2579,0
List.insert_append_of_not_mem_left,2,SAT,33,54,0
List.insert_append_of_not_mem_left,3,SAT,25,55,0
List.dropLast_append_of_ne_nil,0,SAT,8,54,0
List.dropLast_append_of_ne_nil,1,SAT,10,54,0
List.dropLast_append_of_ne_nil,2,SAT,16,2370,0
List.ext_get,0,UNKNOWN,20,11070,0
List.ext_get,1,SAT,8,56,1
List.ext_get,2,UNSAT,16,53,0
List.ext_get,3,UNSAT,18,53,0
List.nil_eq_append_iff,0,SAT,4,757,1
List.nil_eq_append_iff,1,SAT,7,558,0
List.nil_eq_append_iff,2,SAT,3,54,0
List.tail?_append,0,SAT,6,54,0
List.tail?_append,1,SAT,7,54,0
List.cons_inj_right,0,SAT,2,55,0
List.cons_inj_right,1,SAT,3,55,0
List.cons_inj_right,2,SAT,5,56,0
List.getElem?_append,0,SAT,62,109,0
List.getElem?_append,1,SAT,79,2764,0
List.concat_inj_right,0,SAT,5,506,0
List.concat_inj_right,1,SAT,6,506,0
List.concat_inj_right,2,SAT,6,56,0
List.append_left_eq_self,0,SAT,5,55,0
List.append_left_eq_self,1,SAT,2,54,0
List.append_left_eq_self,2,SAT,3,54,0
List.reverse_eq_cons_iff,0,SAT,4,55,0
List.reverse_eq_cons_iff,1,SAT,8,56,1
List.reverse_eq_cons_iff,2,SAT,8,56,0
List.replace_singleton,0,SAT,19,4871,0
List.replace_singleton,1,SAT,13,54,1
List.replace_singleton,2,SAT,10,53,1
List.replace_singleton,3,SAT,11,107,0
List.replace_singleton,4,SAT,6,54,0
List.replace_singleton,5,SAT,7,3617,0
List.set_comm,0,SAT,8,56,1
List.set_comm,1,SAT,14,110,0
List.set_comm,2,SAT,10,106,1
List.set_comm,3,SAT,7,56,0
List.set_comm,4,SAT,12,59,0
List.eraseDups_append,0,UNKNOWN,56,10336,0
List.eraseDups_append,1,UNKNOWN,23,10270,1
List.eraseDups_append,2,UNKNOWN,22,10315,0
List.mem_flatMap,0,SAT,26,55,0
List.get?_eq_none,0,SAT,12,54,0
List.append_eq_map_iff,0,SAT,6,506,1
List.append_eq_map_iff,1,SAT,15,459,0
List.append_eq_map_iff,2,SAT,17,161,1
List.concat_cons,0,SAT,8,107,0
List.concat_cons,1,SAT,10,1570,0
List.self_eq_append_left,0,SAT,5,56,0
List.self_eq_append_left,1,SAT,5,56,0
List.self_eq_append_left,2,SAT,5,108,0
List.ne_of_not_mem_cons,0,SAT,6,1016,0
List.ne_of_not_mem_cons,1,SAT,34,58,0
List.ne_of_not_mem_cons,2,SAT,32,56,1
List.cons_eq_cons,0,SAT,6,57,0
List.cons_eq_cons,1,SAT,5,57,0
List.cons_eq_cons,2,SAT,6,59,0
List.cons_eq_cons,3,SAT,6,59,0
List.cons_eq_cons,4,SAT,7,61,0
List.head?_replace,0,SAT,48,113,1
List.head?_replace,1,SAT,38,112,0
List.getElem_of_getElem?,0,SAT,60,112,0
List.getLast?_append,0,SAT,37,246,0
List.getLast?_append,1,SAT,80,167,0
List.filterMap_replicate_of_some,0,SAT,42,165,1
List.tail_append_of_ne_nil,0,SAT,47,112,0
List.tail_append_of_ne_nil,1,SAT,16,212,1
List.tail_append_of_ne_nil,2,SAT,25,3951,1
List.all_eq_false,0,SAT,75,109,0
List.all_bne',0,SAT,18,108,0
List.append_eq_append_iff,0,SAT,10,2917,1
List.append_eq_append_iff,1,SAT,7,356,0
List.append_eq_append_iff,2,SAT,6,608,0
List.append_eq_append_iff,3,SAT,12,763,0
List.append_eq_append_iff,4,SAT,13,717,0
List.append_eq_append_iff,5,SAT,40,969,0
List.append_eq_append_iff,6,SAT,9,5424,0
List.append_eq_append_iff,7,SAT,12,562,1
List.append_eq_append_iff,8,SAT,12,932,0
