theorem,mutant,result,encoding,nunchaku,recovery
List.foldl_filter,0,UNKNOWN,10,11070,1
List.head_tail,0,UNSAT,8,53,0
List.set_nil,0,UNSAT,4,53,0
List.set_append_right,0,UNKNOWN,12,11076,0
List.getLast_of_mem_getLast?,0,UNSAT,6,54,0
List.contains_eq_mem,0,UNKNOWN,25,11079,0
List.elem_eq_mem,0,UNKNOWN,28,11077,0
List.isSome_head?,0,UNSAT,5,53,0
List.getElem_cons_length,0,UNKNOWN,9,10273,1
List.replicateRecOn,0,UNKNOWN,19,11075,0
List.eq_nil_or_concat,0,UNKNOWN,6,11073,0
List.getElem?_insert,0,UNKNOWN,25,11075,0
List.getElem?_singleton,0,UNSAT,8,52,0
List.set_eq_of_length_le,0,UNKNOWN,16,11073,0
List.any_flatMap,0,UNKNOWN,13,11069,0
List.getLast_filterMap_of_eq_some,0,UNKNOWN,14,11077,1
List.reverse_ne_nil_iff,0,UNKNOWN,5,10225,0
List.filterMap_map,0,UNKNOWN,15,11083,1
List.eraseDups_nil,0,UNSAT,15,603,0
List.isEmpty_replicate,0,UNSAT,7,454,0
List.filter_eq_cons_iff,0,UNKNOWN,24,11075,0
List.get_cons_succ',0,UNSAT,17,103,0
List.replicate_beq_replicate,0,UNKNOWN,9,11072,1
List.any_filter,0,UNKNOWN,9,11071,0
List.mem_of_ne_of_mem,0,UNKNOWN,15,11082,1
List.isEmpty_map,0,UNSAT,7,54,0
List.mem_of_mem_head?,0,UNKNOWN,21,11124,1
List.map_eq_flatMap,0,UNKNOWN,6,10272,0
List.ext_getElem?,0,UNKNOWN,10,11079,0
List.filter_flatMap,0,UNKNOWN,11,11072,1
List.eq_of_mem_replicate,0,UNKNOWN,25,11076,0
List.getLast_filter_of_pos,0,UNKNOWN,6,11082,0
List.getElem?_nil,0,UNSAT,8,52,0
List.append_eq_filter_iff,0,UNKNOWN,9,11062,0
List.getElem?_reverse,0,UNKNOWN,17,11079,0
List.forall_mem_flatten,0,UNKNOWN,19,11075,0
List.tail_append,0,UNSAT,8,54,0
List.foldl_flip_cons_eq_append',0,UNKNOWN,7,10224,0
List.exists_mem_nil,0,UNSAT,16,403,0
List.flatten_singleton,0,UNKNOWN,3,10220,0
List.foldr_append_eq_append,0,UNKNOWN,8,11073,0
List.getElem_eq_iff,0,UNKNOWN,16,11072,1
List.isEmpty_iff_length_eq_zero,0,UNSAT,7,53,0
List.flatten_ne_nil_iff,0,UNKNOWN,20,11069,0
List.map_eq_cons_iff',0,UNSAT,12,103,0
List.tail_reverse,0,UNKNOWN,7,10270,0
List.singleton_eq_append_iff,0,UNSAT,4,53,0
List.replace_take,0,UNKNOWN,8,11076,1
List.filterMap_eq_map,0,UNKNOWN,15,10274,0
List.foldr_append,0,UNKNOWN,8,11082,1
List.getLast_dropLast,0,UNKNOWN,9,10272,0
List.flatten_eq_nil_iff,0,UNKNOWN,19,11078,0
List.set_getElem_self,0,UNKNOWN,12,11079,0
List.flatMap_singleton,0,UNKNOWN,7,11072,0
List.forall_getElem,0,UNKNOWN,23,11081,0
List.replicate_succ_ne_nil,0,UNSAT,5,54,0
List.concat_ne_nil,0,UNSAT,5,504,0
List.foldl_append_eq_append,0,UNKNOWN,8,11082,0
List.head?_replicate,0,UNSAT,5,54,0
List.flatten_replicate_replicate,0,UNKNOWN,11,11081,1
List.getD_eq_getElem?_getD,0,UNSAT,12,52,1
List.head?_concat,0,UNSAT,7,54,0
List.any_beq',0,UNKNOWN,11,11080,0
List.forall_mem_ne',0,UNKNOWN,20,11077,1
List.head?_map,0,UNSAT,6,52,0
List.filterMap_eq_nil_iff,0,UNKNOWN,22,11077,1
List.exists_of_mem_flatMap,0,UNKNOWN,23,11083,0
List.map_const,0,UNKNOWN,18,10277,0
List.append_inj_left',0,UNKNOWN,9,11080,0
List.map_filterMap,0,UNKNOWN,15,11082,1
List.append_inj_right',0,UNKNOWN,8,11078,0
List.reverse_reverse,0,UNKNOWN,7,10226,0
List.all_eq,0,UNKNOWN,18,11079,0
List.singleton_eq_flatten_iff,0,UNKNOWN,15,11079,0
List.eq_replicate_of_mem,0,UNKNOWN,19,11066,1
List.cons_append_fun,0,UNSAT,4,52,0
List.length_filter_le,0,UNKNOWN,18,11077,0
List.exists_of_mem_flatten,0,UNKNOWN,18,11071,1
List.getElem?_reverse',0,UNKNOWN,14,11076,1
List.get?_zero,0,UNSAT,16,53,0
List.all_flatMap,0,UNKNOWN,11,11084,1
List.some_eq_getElem?_iff,0,UNKNOWN,18,11076,1
List.filter_eq_nil_iff,0,UNKNOWN,28,11077,0
List.contains_iff_exists_mem_beq,0,UNKNOWN,26,11077,1
List.removeAll_cons,0,UNKNOWN,13,11075,0
List.all_congr,0,UNSAT,7,54,0
List.replicate_one,0,UNSAT,2,53,0
List.map_eq_nil_iff,0,UNSAT,4,53,0
List.flatten_filter_ne_nil,0,UNKNOWN,8,11070,1
List.ne_nil_of_length_pos,0,UNSAT,16,52,0
List.map_append,0,UNKNOWN,8,10230,0
List.lawfulBEq_iff,0,UNKNOWN,17,11078,0
List.map_dropLast,0,UNKNOWN,8,10227,0
List.foldr_cons_eq_append,0,UNKNOWN,10,10227,1
List.getLast_eq_getLastD,0,UNSAT,8,53,0
List.map_id',0,UNKNOWN,5,10278,0
List.getElem?_replicate,0,UNKNOWN,22,11078,0
List.foldl_rel,0,UNKNOWN,17,11083,0
List.or_all_distrib_left,0,UNKNOWN,3,11069,0
List.eq_of_mem_singleton,0,UNSAT,15,403,0
List.get!_eq_getElem!,0,ERR_ENCODING,10,0,0
List.head_filter_of_pos,0,UNSAT,4,53,0
List.map_replicate,0,UNKNOWN,4,10229,0
List.ext_getElem?_iff,0,SAT,10,11085,0
List.foldr_eq_foldrM,0,ERR_ENCODING,6,0,0
List.leftpad_suffix,0,UNSAT,5,52,0
List.filter_cons_of_pos,0,UNSAT,8,53,0
List.getElem?_replace,0,UNKNOWN,32,11074,0
List.ne_nil_iff_exists_cons,0,UNKNOWN,4,11074,0
List.all_reverse,0,UNKNOWN,6,11076,0
List.insert_append_of_not_mem_left,0,UNKNOWN,23,11079,0
List.dropLast_append_of_ne_nil,0,UNKNOWN,26,10281,0
List.length_dropLast,0,UNKNOWN,14,10221,0
List.head_reverse,0,UNKNOWN,7,10377,0
List.ext_get,0,UNKNOWN,15,11077,0
List.get!_eq_getD,0,ERR_ENCODING,12,0,0
List.nil_eq_append_iff,0,UNSAT,2,52,0
List.tail?_append,0,UNSAT,9,53,1
List.getLast_tail,0,UNSAT,4,402,0
List.getLast!_nil,0,ERR_ENCODING,3,0,0
List.cons_inj_right,0,UNSAT,2,52,0
List.getElem?_append,0,UNKNOWN,17,11077,1
List.concat_inj_right,0,UNKNOWN,5,10233,0
List.getLast_append_left,0,UNKNOWN,8,10276,0
List.append_left_eq_self,0,UNKNOWN,7,11078,0
List.reverse_eq_cons_iff,0,UNKNOWN,7,11083,0
List.replace_singleton,0,UNSAT,11,104,0
List.contains_map,0,UNKNOWN,7,11079,1
List.set_comm,0,UNKNOWN,7,10226,0
List.head?_reverse,0,UNKNOWN,14,10269,0
List.all_flatten,0,UNKNOWN,12,11082,1
List.getElem_zero_eq_head,0,UNSAT,11,103,0
List.eraseDups_append,0,UNKNOWN,14,10227,0
List.mem_flatMap,0,UNKNOWN,20,11078,1
List.get?_eq_none,0,UNKNOWN,17,11079,0
List.idRun_foldlM,0,ERR_ENCODING,14,0,0
List.append_eq_map_iff,0,UNKNOWN,5,11076,0
List.head?_insert,0,UNKNOWN,27,11070,0
List.concat_cons,0,UNSAT,5,504,0
List.self_eq_append_left,0,UNKNOWN,5,11077,0
List.ne_of_not_mem_cons,0,UNSAT,14,52,0
List.length_map,0,UNKNOWN,8,10370,0
List.cons_eq_cons,0,UNSAT,3,52,0
List.idRun_foldrM,0,ERR_ENCODING,9,0,0
List.head?_replace,0,UNSAT,11,103,0
List.flatMap_replicate,0,UNKNOWN,8,11080,1
List.getElem_of_getElem?,0,UNKNOWN,21,11081,0
List.getLast?_append,0,UNKNOWN,10,10225,0
List.filterMap_replicate_of_some,0,UNKNOWN,14,11080,0
List.tail_append_of_ne_nil,0,UNSAT,6,53,0
List.all_eq_false,0,UNKNOWN,16,11076,0
List.all_bne',0,UNKNOWN,14,11076,0
List.append_eq_append_iff,0,UNKNOWN,5,11070,0
List.contains_filter,0,UNKNOWN,15,11079,1
List.get?_eq_get,0,UNKNOWN,16,11077,1
List.foldr_flip_append_eq_append,0,UNKNOWN,8,11078,0
List.getLastD_eq_getLast?,0,UNSAT,5,53,0
List.any_eq_true,0,UNKNOWN,21,11068,0
List.foldr_map,0,UNKNOWN,8,11074,0
List.map_const',0,UNKNOWN,6,10322,0
List.not_mem_nil,0,UNSAT,20,53,0
List.replace_append_right,0,UNKNOWN,24,11080,1
List.getElem!_of_getElem?,0,ERR_ENCODING,11,0,0
List.head_mem_head?,0,UNSAT,3,402,0
List.head?_singleton,0,UNSAT,6,54,0
