theorem,mutant,result,encoding,nunchaku,recovery
Array.elem_iff,0,ERR_ENCODING,26,0,0
Array.back?_replicate,0,UNKNOWN,12,10274,0
Array.back?_eq_none_iff,0,UNSAT,20,904,1
Array.singleton_inj,0,UNSAT,6,53,0
Array.getElem_extract,0,UNKNOWN,23,11075,0
Array.set_getElem_self,0,UNKNOWN,13,11080,1
Array.mem_singleton_self,0,UNSAT,23,52,0
Array.foldl_add_const,0,ERR_ENCODING,22,0,0
Array.flatMap_reverse,0,ERR_ENCODING,20,0,0
Array.map_id,0,ERR_ENCODING,15,0,0
Array.getElem_fin_eq_getElem_toList,0,UNSAT,12,52,0
Array.map_eq_append_iff,0,ERR_ENCODING,21,0,0
Array.append_eq_singleton_iff,0,ERR_ENCODING,17,0,0
Array.back_pop,0,UNKNOWN,18,10224,0
Array.filterMap_some,0,ERR_ENCODING,26,0,0
Array.any_append,0,ERR_ENCODING,25,0,0
Array.extract_loop_succ,0,UNSAT,19,302,1
Array.some_eq_getElem?_iff,0,UNSAT,32,104,0
Array.push_ne_self,0,UNKNOWN,6,10285,0
Array.filterMap_empty,0,ERR_ENCODING,53,0,0
Array.map_const',0,ERR_ENCODING,23,0,0
Array.eq_replicate_of_mem,0,UNKNOWN,33,11080,0
Array.mem_of_contains_eq_true,0,ERR_ENCODING,27,0,0
Array.findRevM?_eq_findM?_reverse,0,ERR_ENCODING,1,0,0
Array.size_pos_iff,0,UNKNOWN,10,10226,0
Array.getElem_swap,0,UNKNOWN,23,11070,0
Array.foldrM_congr,0,ERR_ENCODING,0,0,0
Array.replace_replicate_self,0,ERR_ENCODING,25,0,0
Array.filter_append,0,ERR_ENCODING,16,0,0
Array.getElem_push,0,UNKNOWN,12,11076,1
Array.empty_eq_append_iff,0,ERR_ENCODING,17,0,0
Array.set_pop,0,UNKNOWN,15,11076,1
Array.filter_eq_append_iff,0,ERR_ENCODING,20,0,0
Array.foldr_push_eq_append,0,ERR_ENCODING,23,0,0
Array.filterMap_filterMap,0,ERR_ENCODING,19,0,0
Array.getElem_set_self,0,UNKNOWN,12,11078,0
Array.any_toList,0,ERR_ENCODING,20,0,0
