theorem,mutant,result,encoding,nunchaku,recovery
Nat.add_comm,0,UNKNOWN,1,11073,1
Nat.pred_le_iff_le_succ,0,UNKNOWN,19,11085,1
Nat.lt_of_sub_eq_succ,0,UNKNOWN,11,11077,0
Nat.le_of_not_lt,0,UNKNOWN,18,11075,1
Nat.add_one_ne_self,0,UNSAT,3,52,0
Nat.pred_inj,0,UNSAT,17,52,0
Nat.instCommutativeHMul,0,SAT,3,855,0
Nat.add_one_sub_one,0,UNSAT,5,54,0
Nat.pow_one,0,UNKNOWN,4,10276,0
Nat.add_one_le_add_one_iff,0,UNKNOWN,17,11077,0
Nat.pow_zero,0,UNSAT,5,53,0
Nat.lt_or_lt_of_ne,0,UNKNOWN,15,11076,0
Nat.le_or_eq_of_le_succ,0,UNKNOWN,13,11083,0
Nat.not_beq_eq_true_eq,0,UNSAT,4,52,0
Nat.le_of_add_right_le,0,UNKNOWN,9,11076,0
Nat.sub_one_add_one_eq_of_pos,0,UNSAT,17,52,0
Nat.add_le_add,0,UNKNOWN,19,11078,0
Nat.sub_eq_of_eq_add,0,UNKNOWN,4,11074,0
Nat.lt_pred_iff_succ_lt,0,UNKNOWN,11,11076,0
Nat.le_sub_one_iff_lt,0,UNKNOWN,21,11078,0
Nat.instNeZeroHPow,0,UNKNOWN,7,10324,0
Nat.mul_zero,0,UNSAT,1,53,0
Nat.le_zero,0,UNSAT,9,53,0
Nat.lt_of_lt_of_eq,0,UNSAT,13,52,0
Nat.sub_pos_of_lt,0,UNKNOWN,13,11079,1
Nat.pos_of_ne_zero,0,UNKNOWN,18,10227,0
Nat.lt_add_of_pos_left,0,UNKNOWN,17,11078,0
Nat.pred_succ,0,UNSAT,3,52,0
Nat.instAssociativeHMul,0,SAT,6,555,0
Nat.add_lt_add_right,0,UNKNOWN,13,11078,0
Nat.sub_one_add_one,0,UNSAT,4,53,0
Nat.add_mul,0,UNKNOWN,3,11076,0
Nat.le_add_right,0,UNKNOWN,17,10270,0
Nat.lt_succ,0,UNKNOWN,16,11079,0
Nat.lt_add_one_iff,0,UNKNOWN,18,11077,0
Nat.two_pow_pos,0,UNKNOWN,9,11076,0
Nat.sub_lt_sub_right,0,UNKNOWN,10,11080,1
Nat.instCommutativeHAdd,0,SAT,6,455,0
Nat.pow_left_inj,0,UNKNOWN,5,11081,0
Nat.le_or_eq_of_le_add_one,0,UNKNOWN,18,11080,1
Nat.pow_add_one,0,UNSAT,4,104,0
Nat.beq_eq,0,UNKNOWN,2,10330,0
Nat.succ_ne_zero,0,UNSAT,2,53,0
Nat.beq_refl,0,UNKNOWN,2,10325,0
Nat.two_pos,0,UNSAT,12,52,0
Nat.sub_one_mul,0,UNKNOWN,2,11075,0
Nat.instLawfulBEq,0,UNSAT,9,102,0
Nat.exists_eq_succ_of_ne_zero,0,UNSAT,1,52,0
Nat.add_one_add_one_ne_one,0,UNSAT,2,52,0
Nat.le_of_sub_eq_zero,0,UNKNOWN,11,11074,1
Nat.pos_iff_ne_zero,0,UNKNOWN,10,10278,0
Nat.sub_le_sub_iff_right,0,UNKNOWN,23,11076,0
Nat.sub_eq,0,UNSAT,4,54,0
Nat.pow_le_pow_left,0,UNKNOWN,16,11072,0
Nat.lt_pred_of_succ_lt,0,UNKNOWN,16,11080,0
Nat.sub_lt_right_of_lt_add,0,UNKNOWN,16,11075,0
Nat.succ_sub,0,UNKNOWN,10,11079,1
Nat.mul_one,0,UNKNOWN,3,10321,0
Nat.lt_of_add_one_le,0,UNSAT,11,52,0
Nat.eq_iff_le_and_ge,0,UNKNOWN,10,11071,1
Nat.sub_one_lt_of_lt,0,UNSAT,19,52,0
Nat.add_right_cancel,0,UNKNOWN,3,11077,0
Nat.le_add_of_sub_le,0,UNKNOWN,10,11077,1
Nat.succ_le_succ_iff,0,UNKNOWN,15,11076,0
Nat.not_le_eq,0,UNKNOWN,15,11074,0
Nat.le_of_mul_le_mul_left,0,UNKNOWN,10,11077,0
Nat.add_left_cancel,0,UNKNOWN,2,11081,0
Nat.add_sub_cancel,0,UNKNOWN,6,10273,0
Nat.le_pred_iff_lt,0,UNKNOWN,19,11077,0
Nat.zero_lt_two,0,UNSAT,20,53,0
Nat.le.dest,0,UNKNOWN,14,11076,0
Nat.le_sub_one_of_lt,0,UNKNOWN,12,11071,0
Nat.succ_inj,0,UNSAT,2,53,0
Nat.add_le_of_le_sub,0,UNKNOWN,17,11062,0
Nat.one_mul,0,UNKNOWN,2,10273,0
Nat.add_right_comm,0,UNKNOWN,5,11077,0
Nat.not_add_one_le_self,0,UNKNOWN,15,11080,0
Nat.mul_two,0,UNKNOWN,4,10325,0
Nat.mul_comm,0,UNKNOWN,4,11080,0
Nat.le.intro,0,UNKNOWN,16,11081,0
Nat.two_mul,0,UNKNOWN,4,10277,0
Nat.le_of_not_ge,0,UNKNOWN,17,11077,0
Nat.eq_of_lt_succ_of_not_lt,0,UNSAT,17,53,0
Nat.succ_add,0,UNKNOWN,2,10325,0
Nat.lt_or_eq_of_le,0,UNKNOWN,16,11078,0
Nat.lt_of_sub_eq_sub_one,0,UNKNOWN,11,11080,0
Nat.lt_of_succ_lt_succ,0,UNKNOWN,11,11077,0
Nat.lt_add_one_of_le,0,UNKNOWN,9,11079,0
Nat.add_sub_self_right,0,UNKNOWN,4,10275,0
Nat.le_add_left_of_le,0,UNKNOWN,17,11076,0
Nat.sub_eq_iff_eq_add,0,UNKNOWN,20,11065,0
Nat.ne_add_one,0,UNSAT,1,53,0
Nat.lt_of_not_ge,0,UNKNOWN,20,11072,0
Nat.add_left_comm,0,UNKNOWN,3,11076,1
Nat.le_eq,0,UNKNOWN,11,11080,0
Nat.lt_eq,0,UNSAT,19,53,0
Nat.mul_add_one,0,UNSAT,2,52,0
Nat.not_ge_eq,0,UNKNOWN,15,11080,0
Nat.lt_of_sub_pos,0,UNKNOWN,13,11079,0
Nat.one_lt_two,0,UNSAT,16,52,0
Nat.sub_one_ne_self,0,UNSAT,3,53,0
Nat.eq_or_lt_of_not_lt,0,UNKNOWN,9,11074,0
Nat.zero_lt_sub_of_lt,0,UNKNOWN,17,11081,0
Nat.mul_le_mul_right_iff,0,UNKNOWN,16,11077,0
Nat.blt_eq,0,UNKNOWN,13,11073,0
Nat.le_of_lt_add_one,0,UNKNOWN,16,11072,0
Nat.ge_of_not_lt,0,UNKNOWN,11,11079,1
Nat.mul_sub_left_distrib,0,UNKNOWN,6,11077,0
Nat.le_add_right_of_le,0,UNKNOWN,12,11080,0
Nat.and_forall_add_one,0,UNKNOWN,3,11076,0
Nat.sub.elim,0,UNKNOWN,19,11073,0
Nat.max_def,0,UNKNOWN,19,11076,0
Nat.beq_eq_true_eq,0,UNSAT,2,53,0
Nat.sub_sub,0,UNKNOWN,3,10225,1
Nat.lt_iff_le_not_le,0,UNKNOWN,17,11082,0
Nat.or_exists_add_one,0,ERR_ENCODING,3,0,0
Nat.not_eq_zero_of_lt,0,UNSAT,8,53,0
Nat.lt_add_one_of_lt,0,UNSAT,15,52,0
Nat.lt_succ_iff,0,UNKNOWN,9,11077,0
Nat.succ_mul,0,UNKNOWN,3,11071,0
Nat.mul_left_comm,0,UNKNOWN,4,11076,0
Nat.instNeZeroSucc,0,UNSAT,6,403,0
Nat.min_def,0,UNKNOWN,13,11075,0
Nat.add_lt_of_lt_sub,0,UNKNOWN,18,11078,0
Nat.ne_zero_iff_zero_lt,0,UNKNOWN,10,10225,0
Nat.gt_of_not_le,0,UNKNOWN,19,11073,1
Nat.zero_eq,0,UNSAT,2,55,0
Nat.sub_one_eq_self,0,UNSAT,3,404,0
Nat.sub_eq_zero_of_le,0,UNKNOWN,18,11078,0
Nat.eq_of_mul_eq_mul_right,0,UNKNOWN,13,11076,0
Nat.not_lt,0,UNKNOWN,18,11075,0
Nat.sub_one_sub_lt_of_lt,0,UNKNOWN,21,11074,1
Nat.ne_of_lt',0,UNKNOWN,13,11074,0
Nat.lt_add_left,0,UNKNOWN,9,11067,0
