theorem,mutant,result,encoding,nunchaku,recovery
Std.TreeMap.contains_unitOfList,0,ERR_ENCODING,9,0,0
Std.TreeMap.getElem?_ofList_of_mem,0,ERR_ENCODING,26,0,0
Std.TreeMap.Equiv.getKeyGE_eq,0,ERR_ENCODING,1,0,0
Std.TreeMap.Equiv.getEntryGT!_eq,0,ERR_ENCODING,1,0,0
Std.TreeMap.getKeyD_unitOfList_of_mem,0,ERR_ENCODING,25,0,0
Std.TreeMap.getKeyD_insertManyIfNewUnit_list_of_not_mem_of_mem,0,ERR_ENCODING,1,0,0
Std.TreeMap.getElem?_map,0,ERR_ENCODING,2,0,0
Std.TreeMap.isEmpty_emptyc,0,ERR_ENCODING,5,0,0
Std.TreeMap.getKey?_eq_some_getKeyD_of_contains,0,ERR_ENCODING,1,0,0
Std.TreeMap.Equiv.getKeyGE?_eq,0,ERR_ENCODING,1,0,0
Std.TreeMap.minKey?_insert_le_self,0,ERR_ENCODING,1,0,0
Std.TreeMap.mem_ofList,0,ERR_ENCODING,8,0,0
Std.TreeMap.size_alter_eq_self_of_not_mem,0,ERR_ENCODING,1,0,0
Std.TreeMap.minKey!_insert_le_self,0,ERR_ENCODING,1,0,0
Std.TreeMap.contains_insertMany_list,0,ERR_ENCODING,2,0,0
Std.TreeMap.getElem?_congr,0,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.getEntryLE_eq,0,ERR_ENCODING,1,0,0
Std.TreeMap.mem_of_mem_insertIfNew,0,ERR_ENCODING,2,0,0
Std.TreeMap.getThenInsertIfNew?_fst,0,ERR_ENCODING,1,0,0
Std.TreeMap.getKey!_alter,0,ERR_ENCODING,1,0,0
Std.TreeMap.getKey!_insertMany_list_of_contains_eq_false,0,ERR_ENCODING,2,0,0
Std.TreeMap.maxKeyD_alter_eq_self,0,ERR_ENCODING,1,0,0
Std.TreeMap.getElem!_insertMany_list_of_mem,0,ERR_ENCODING,1,0,0
Std.TreeMap.size_le_size_insertIfNew,0,ERR_ENCODING,1,0,0
Std.TreeMap.getKeyD_congr,0,ERR_ENCODING,1,0,0
Std.TreeMap.maxKeyD_erase_eq_of_not_compare_maxKeyD_eq,0,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_unitOfList_of_contains_eq_false,0,ERR_ENCODING,10,0,0
Std.TreeMap.contains_maxKey,0,ERR_ENCODING,2,0,0
Std.TreeMap.minKeyD_eq_iff_getKey?_eq_self_and_forall,0,ERR_ENCODING,2,0,0
Std.TreeMap.get?_eq_getElem?,0,ERR_ENCODING,2,0,0
Std.TreeMap.getKey?_unitOfList_of_mem,0,ERR_ENCODING,25,0,0
Std.TreeMap.getKey!_modify,0,ERR_ENCODING,2,0,0
Std.TreeMap.getKey!_alter_self,0,ERR_ENCODING,1,0,0
Std.TreeMap.getKey?_erase_self,0,ERR_ENCODING,1,0,0
Std.TreeMap.maxKey?_modify,0,ERR_ENCODING,2,0,0
Std.TreeMap.mem_alter,0,ERR_ENCODING,2,0,0
Std.TreeMap.minKey_erase_eq_iff_not_compare_eq_minKey,0,ERR_ENCODING,1,0,0
Std.TreeMap.minKey!_insert,0,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.getKeyGTD_eq,0,ERR_ENCODING,1,0,0
Std.TreeMap.minKey_le_minKey_erase,0,ERR_ENCODING,2,0,0
Std.TreeMap.getKey!_insert_self,0,ERR_ENCODING,1,0,0
Std.TreeMap.size_alter_eq_self_of_mem,0,ERR_ENCODING,1,0,0
Std.TreeMap.ofList_cons,0,ERR_ENCODING,3,0,0
Std.TreeMap.getElem!_ofList_of_contains_eq_false,0,ERR_ENCODING,10,0,0
Std.TreeMap.getD_filterMap',0,ERR_ENCODING,2,0,0
Std.TreeMap.minKeyD_insertIfNew_le_minKeyD,0,ERR_ENCODING,1,0,0
Std.TreeMap.contains_of_contains_map,0,ERR_ENCODING,2,0,0
Std.TreeMap.Equiv.comm,0,ERR_ENCODING,1,0,0
Std.TreeMap.contains_alter_of_not_compare_eq,0,ERR_ENCODING,2,0,0
Std.TreeMap.contains_erase,0,ERR_ENCODING,1,0,0
Std.TreeMap.getElem?_eq_some_getElem!_of_contains,0,ERR_ENCODING,1,0,0
Std.TreeMap.foldlM_eq_foldlM_keys,0,ERR_ENCODING,2,0,0
Std.TreeMap.minKey_insert_le_minKey,0,ERR_ENCODING,2,0,0
Std.TreeMap.getKeyD_minKeyD,0,ERR_ENCODING,1,0,0
Std.TreeMap.ordCompare_maxKeyD_modify_eq,0,ERR_ENCODING,4,0,0
Std.TreeMap.size_ofList_le,0,ERR_ENCODING,12,0,0
Std.TreeMap.getKeyD_ofList_of_contains_eq_false,0,ERR_ENCODING,10,0,0
Std.TreeMap.forM_eq_forM_toList,0,ERR_ENCODING,1,0,0
Std.TreeMap.Equiv.getElem!_eq,0,ERR_ENCODING,1,0,0
Std.TreeMap.getD_map',0,ERR_ENCODING,2,0,0
Std.TreeMap.getKey!_insertManyIfNewUnit_list_of_not_mem_of_contains_eq_false,0,ERR_ENCODING,1,0,0
Std.TreeMap.isSome_minKey?_iff_isEmpty_eq_false,0,ERR_ENCODING,1,0,0
Std.TreeMap.isSome_minKey?_eq_not_isEmpty,0,ERR_ENCODING,2,0,0
Std.TreeMap.size_ofList,0,ERR_ENCODING,23,0,0
Std.TreeMap.contains_of_contains_filterMap,0,ERR_ENCODING,1,0,0
Std.TreeMap.getElem!_filter',0,ERR_ENCODING,1,0,0
Std.TreeMap.Equiv.minEntry!_eq,0,ERR_ENCODING,2,0,0
Std.TreeMap.containsThenInsert_fst,0,ERR_ENCODING,2,0,0
Std.TreeMap.getElem!_emptyc,0,ERR_ENCODING,9,0,0
